frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,-0.255,-0.156,0.957,4.79,-1.4,-1.68,null,null
1,0.95,-0.239,-0.153,0.954,11.99,-5.07,-3.42,null,null
2,0.95,-0.24,-0.141,0.92,1.22,-3.85,-3.63,null,null
3,0.95,-0.255,-0.137,0.945,-1.4,1.43,-2.01,null,null
4,0.95,-0.642,0.045,0.965,-3.69,-2.01,-4.06,null,null
5,0.95,-0.898,-0.411,0.95,-2.75,-78.62,45.41,null,null
6,0.95,-0.102,0.041,0.677,84.44,4.39,33.42,null,null
7,0.95,0.043,-0.131,0.92,72.15,45.38,19.56,null,null
8,0.95,0.081,0.089,0.892,108.28,34.27,-25.18,null,null
9,0.95,0.002,0.163,1.009,52.83,64.3,-34.09,null,null
10,0.95,-0.227,0.241,0.963,24.99,19.2,-16.33,null,null
11,0.95,-0.343,0.166,0.942,25.7,-7.14,2.47,null,null
12,0.95,-0.42,0.178,0.942,4.79,-13.49,5.46,null,null
13,0.95,-0.387,0.193,0.898,-7.87,-7.97,3.23,null,null
14,0.95,-0.35,0.185,0.859,-4.46,-4.09,3.36,null,null
15,0.95,-0.381,0.229,0.883,1.37,7.6,1.07,null,null
16,0.95,-0.379,0.219,0.877,1.74,1.68,3.54,null,null
17,0.95,-0.394,0.215,0.896,-1.83,-1.53,1.86,null,null
18,0.95,-0.386,0.209,0.898,0.58,3.17,-0.21,null,null
19,0.95,-0.385,0.22,0.88,4.09,1.04,-1.92,null,null
0,0.95,-0.12,-0.189,0.98,-2.29,-0.09,0.31,null,null
1,0.95,-0.215,-0.119,1.024,6.99,11.63,9.25,null,null
2,0.95,-0.334,-0.143,0.976,27.83,38.7,21.91,null,null
3,0.95,-0.313,-0.049,0.88,35.77,-25.21,32.87,null,null
4,0.95,-0.286,0.043,0.879,17.82,11.02,27.56,null,null
5,0.95,-0.355,-0.053,0.956,-16.54,4.82,23.01,null,null
6,0.95,-0.413,-0.137,0.939,8.97,2.47,41.66,null,null
7,0.95,-0.361,-0.037,0.85,18.74,-35.71,27.44,null,null
8,0.95,0.219,0.011,0.947,79.41,-5.92,-7.97,null,null
9,0.95,0.307,0.135,0.944,66.9,-12.88,-49.96,null,null
10,0.95,0.048,0.454,1.054,44.34,18.1,-70.35,null,null
11,0.95,-0.091,0.399,1.011,4.43,-15.9,-15.5,null,null
12,0.95,-0.188,0.329,0.917,3.81,-16.63,10.22,null,null
13,0.95,-0.222,0.319,0.885,12.09,7.63,14.95,null,null
