trial_index,gesture,trial_num,start_timestamp,end_timestamp,num_frames
0,pull,0,2026-07-28T23:50:09.435450+00:00,2026-07-28T23:50:15.413093+00:00,20
1,pull,1,2026-07-28T23:50:17.548217+00:00,2026-07-28T23:50:20.863096+00:00,20
2,pull,2,2026-07-28T23:50:22.425962+00:00,2026-07-28T23:50:26.104016+00:00,20
3,pull,3,2026-07-28T23:50:27.583573+00:00,2026-07-28T23:50:31.064140+00:00,20
4,pull,4,2026-07-28T23:50:32.380672+00:00,2026-07-28T23:50:35.573352+00:00,20
5,pull,5,2026-07-28T23:50:36.994540+00:00,2026-07-28T23:50:40.634140+00:00,20
6,pull,6,2026-07-28T23:50:42.304144+00:00,2026-07-28T23:50:45.373668+00:00,20
7,pull,7,2026-07-28T23:50:47.111090+00:00,2026-07-28T23:50:55.693077+00:00,20
8,pull,8,2026-07-28T23:50:57.019298+00:00,2026-07-28T23:51:00.034001+00:00,20
9,pull,9,2026-07-28T23:51:01.255133+00:00,2026-07-28T23:51:05.374933+00:00,20
10,pull,10,2026-07-28T23:51:07.952989+00:00,2026-07-28T23:51:12.554825+00:00,20
11,pull,11,2026-07-28T23:51:14.278993+00:00,2026-07-28T23:51:17.713332+00:00,20
12,pull,12,2026-07-28T23:51:19.293408+00:00,2026-07-28T23:51:22.744116+00:00,20
13,pull,13,2026-07-28T23:51:25.010877+00:00,2026-07-28T23:51:29.854892+00:00,20
14,pull,14,2026-07-28T23:51:31.589318+00:00,2026-07-28T23:51:34.524035+00:00,20
15,push,1,2026-07-28T23:51:42.903114+00:00,2026-07-28T23:51:47.795122+00:00,20
16,push,2,2026-07-28T23:51:49.431068+00:00,2026-07-28T23:51:52.694240+00:00,20
17,push,3,2026-07-28T23:51:54.032786+00:00,2026-07-28T23:51:56.424630+00:00,20
18,push,4,2026-07-28T23:51:57.683880+00:00,2026-07-28T23:52:00.107486+00:00,20
19,push,5,2026-07-28T23:52:01.031082+00:00,2026-07-28T23:52:03.423598+00:00,20
20,push,6,2026-07-28T23:52:04.560148+00:00,2026-07-28T23:52:07.253592+00:00,20
21,push,7,2026-07-28T23:52:08.487942+00:00,2026-07-28T23:52:11.024332+00:00,20
22,push,8,2026-07-28T23:52:12.144216+00:00,2026-07-28T23:52:14.628640+00:00,20
23,push,9,2026-07-28T23:52:15.963840+00:00,2026-07-28T23:52:18.404856+00:00,20
24,push,10,2026-07-28T23:52:19.650714+00:00,2026-07-28T23:52:22.074285+00:00,20
25,push,11,2026-07-28T23:52:23.381046+00:00,2026-07-28T23:52:26.165409+00:00,20
26,push,12,2026-07-28T23:52:27.139551+00:00,2026-07-28T23:52:29.623712+00:00,20
27,push,13,2026-07-28T23:52:30.971182+00:00,2026-07-28T23:52:33.475448+00:00,20
28,push,14,2026-07-28T23:52:34.287365+00:00,2026-07-28T23:52:36.844432+00:00,20
29,clockwise,0,2026-07-28T23:52:37.932853+00:00,2026-07-28T23:52:43.437965+00:00,20
30,clockwise,1,2026-07-28T23:52:44.329075+00:00,2026-07-28T23:52:46.657794+00:00,20
31,clockwise,2,2026-07-28T23:52:47.770041+00:00,2026-07-28T23:52:50.048510+00:00,20
32,clockwise,3,2026-07-28T23:52:51.015623+00:00,2026-07-28T23:52:53.477762+00:00,20
33,clockwise,4,2026-07-28T23:52:54.850356+00:00,2026-07-28T23:52:57.165068+00:00,20
34,clockwise,5,2026-07-28T23:52:58.236726+00:00,2026-07-28T23:53:00.524215+00:00,20
35,clockwise,6,2026-07-28T23:53:01.554780+00:00,2026-07-28T23:53:03.804254+00:00,20
36,clockwise,7,2026-07-28T23:53:04.841612+00:00,2026-07-28T23:53:07.217816+00:00,20
37,clockwise,8,2026-07-28T23:53:08.360174+00:00,2026-07-28T23:53:10.565339+00:00,20
38,clockwise,9,2026-07-28T23:53:11.640176+00:00,2026-07-28T23:53:13.938132+00:00,20
39,clockwise,10,2026-07-28T23:53:15.091418+00:00,2026-07-28T23:53:17.325367+00:00,20
40,clockwise,11,2026-07-28T23:53:18.993773+00:00,2026-07-28T23:53:21.455057+00:00,20
41,clockwise,12,2026-07-28T23:53:23.797849+00:00,2026-07-28T23:53:28.429486+00:00,20
42,clockwise,13,2026-07-28T23:53:29.999154+00:00,2026-07-28T23:53:33.168890+00:00,20
43,clockwise,14,2026-07-28T23:53:34.470976+00:00,2026-07-28T23:53:37.934411+00:00,20
44,anticlockwise,1,2026-07-28T23:54:58.002393+00:00,2026-07-28T23:55:02.166603+00:00,20
45,anticlockwise,2,2026-07-28T23:55:03.663772+00:00,2026-07-28T23:55:05.906237+00:00,20
46,anticlockwise,3,2026-07-28T23:55:06.828140+00:00,2026-07-28T23:55:09.049667+00:00,20
47,anticlockwise,4,2026-07-28T23:55:10.090441+00:00,2026-07-28T23:55:12.309598+00:00,20
48,anticlockwise,5,2026-07-28T23:55:13.375678+00:00,2026-07-28T23:55:15.605633+00:00,20
49,anticlockwise,6,2026-07-28T23:55:16.532534+00:00,2026-07-28T23:55:18.826542+00:00,20
50,anticlockwise,7,2026-07-28T23:55:19.815438+00:00,2026-07-28T23:55:22.086070+00:00,20
51,anticlockwise,8,2026-07-28T23:55:23.008489+00:00,2026-07-28T23:55:25.307345+00:00,20
52,anticlockwise,9,2026-07-28T23:55:26.326036+00:00,2026-07-28T23:55:28.519044+00:00,20
53,anticlockwise,10,2026-07-28T23:55:29.688414+00:00,2026-07-28T23:55:31.946127+00:00,20
54,anticlockwise,11,2026-07-28T23:55:32.983412+00:00,2026-07-28T23:55:35.206587+00:00,20
55,anticlockwise,12,2026-07-28T23:55:36.300368+00:00,2026-07-28T23:55:38.555544+00:00,20
56,anticlockwise,13,2026-07-28T23:55:39.499343+00:00,2026-07-28T23:55:41.727106+00:00,20
57,anticlockwise,14,2026-07-28T23:55:42.645180+00:00,2026-07-28T23:55:44.836477+00:00,20
58,right,0,2026-07-28T23:55:45.774840+00:00,2026-07-28T23:55:47.969906+00:00,20
59,right,2,2026-07-28T23:56:02.074669+00:00,2026-07-28T23:56:50.276880+00:00,20
60,right,3,2026-07-28T23:56:51.653138+00:00,2026-07-28T23:56:54.855677+00:00,20
61,right,4,2026-07-28T23:56:55.870749+00:00,2026-07-28T23:56:58.870143+00:00,20
62,right,5,2026-07-28T23:56:59.903493+00:00,2026-07-28T23:57:02.376454+00:00,20
63,right,6,2026-07-28T23:57:03.475545+00:00,2026-07-28T23:57:05.830178+00:00,20
64,right,7,2026-07-28T23:57:06.723943+00:00,2026-07-28T23:57:09.026854+00:00,20
65,right,8,2026-07-28T23:57:09.987522+00:00,2026-07-28T23:57:12.257214+00:00,20
66,right,9,2026-07-28T23:57:14.513117+00:00,2026-07-28T23:57:19.237070+00:00,20
67,right,10,2026-07-28T23:57:20.209661+00:00,2026-07-28T23:57:23.419841+00:00,20
68,right,11,2026-07-28T23:57:24.486483+00:00,2026-07-28T23:57:28.048315+00:00,20
69,right,12,2026-07-28T23:57:29.564267+00:00,2026-07-28T23:57:33.000728+00:00,20
70,right,13,2026-07-28T23:57:34.342339+00:00,2026-07-28T23:57:38.578877+00:00,20
71,right,14,2026-07-28T23:57:40.648079+00:00,2026-07-28T23:57:44.811980+00:00,20
72,left,0,2026-07-28T23:57:46.373156+00:00,2026-07-28T23:57:53.007391+00:00,20
73,left,1,2026-07-28T23:57:54.279855+00:00,2026-07-28T23:57:59.497123+00:00,20
74,left,2,2026-07-28T23:58:00.395293+00:00,2026-07-28T23:58:03.386874+00:00,20
75,left,3,2026-07-28T23:58:04.272256+00:00,2026-07-28T23:58:07.297456+00:00,20
76,left,4,2026-07-28T23:58:08.296777+00:00,2026-07-28T23:58:10.838961+00:00,20
77,left,5,2026-07-28T23:58:11.771745+00:00,2026-07-28T23:58:16.097109+00:00,20
78,left,6,2026-07-28T23:58:17.102673+00:00,2026-07-28T23:58:20.517704+00:00,20
79,left,7,2026-07-28T23:58:21.594879+00:00,2026-07-28T23:58:28.970581+00:00,20
80,left,8,2026-07-28T23:58:29.980388+00:00,2026-07-28T23:58:33.057827+00:00,20
81,left,9,2026-07-28T23:58:34.413923+00:00,2026-07-28T23:58:37.357562+00:00,20
82,left,10,2026-07-28T23:58:38.354553+00:00,2026-07-28T23:58:41.347387+00:00,20
83,left,11,2026-07-28T23:58:42.559047+00:00,2026-07-28T23:58:45.487572+00:00,20
84,left,12,2026-07-28T23:58:46.539363+00:00,2026-07-28T23:58:49.441742+00:00,20
85,left,13,2026-07-28T23:58:50.417757+00:00,2026-07-28T23:58:53.138168+00:00,20
86,left,14,2026-07-28T23:58:54.179541+00:00,2026-07-28T23:58:57.077024+00:00,20
87,bye-bye,0,2026-07-28T23:58:58.389602+00:00,2026-07-28T23:59:29.167047+00:00,20
88,bye-bye,1,2026-07-28T23:59:29.876169+00:00,2026-07-28T23:59:32.517364+00:00,20
89,bye-bye,2,2026-07-28T23:59:33.107101+00:00,2026-07-28T23:59:35.341249+00:00,20
90,bye-bye,3,2026-07-28T23:59:35.958910+00:00,2026-07-28T23:59:38.171743+00:00,20
91,bye-bye,4,2026-07-28T23:59:38.775472+00:00,2026-07-28T23:59:41.007704+00:00,20
92,bye-bye,5,2026-07-28T23:59:41.550931+00:00,2026-07-28T23:59:43.808652+00:00,20
93,bye-bye,6,2026-07-28T23:59:44.415052+00:00,2026-07-28T23:59:46.640651+00:00,20
94,bye-bye,7,2026-07-28T23:59:47.191812+00:00,2026-07-28T23:59:49.391904+00:00,20
95,bye-bye,8,2026-07-28T23:59:49.927598+00:00,2026-07-28T23:59:52.151187+00:00,20
96,bye-bye,9,2026-07-28T23:59:52.689284+00:00,2026-07-28T23:59:54.908098+00:00,20
97,bye-bye,10,2026-07-28T23:59:55.395016+00:00,2026-07-28T23:59:57.578775+00:00,20
98,bye-bye,11,2026-07-28T23:59:58.487425+00:00,2026-07-29T00:00:00.888896+00:00,20
99,bye-bye,12,2026-07-29T00:00:01.591881+00:00,2026-07-29T00:00:03.961538+00:00,20
100,bye-bye,13,2026-07-29T00:00:04.937081+00:00,2026-07-29T00:00:07.860212+00:00,20
101,bye-bye,14,2026-07-29T00:00:09.566972+00:00,2026-07-29T00:00:14.121940+00:00,20
102,one-arm-boxing,0,2026-07-29T00:00:17.396607+00:00,2026-07-29T00:00:29.389546+00:00,20
103,one-arm-boxing,1,2026-07-29T00:00:30.730147+00:00,2026-07-29T00:00:33.819166+00:00,20
104,one-arm-boxing,2,2026-07-29T00:00:34.684133+00:00,2026-07-29T00:00:37.617860+00:00,20
105,one-arm-boxing,3,2026-07-29T00:00:38.723756+00:00,2026-07-29T00:00:41.120595+00:00,20
106,one-arm-boxing,4,2026-07-29T00:00:41.872434+00:00,2026-07-29T00:00:44.234256+00:00,20
107,one-arm-boxing,5,2026-07-29T00:00:45.089236+00:00,2026-07-29T00:00:47.410570+00:00,20
108,one-arm-boxing,6,2026-07-29T00:00:48.147919+00:00,2026-07-29T00:00:50.511348+00:00,20
109,one-arm-boxing,7,2026-07-29T00:00:51.369322+00:00,2026-07-29T00:00:53.708400+00:00,20
110,one-arm-boxing,8,2026-07-29T00:00:54.574859+00:00,2026-07-29T00:00:56.951415+00:00,20
111,one-arm-boxing,9,2026-07-29T00:00:57.972601+00:00,2026-07-29T00:01:00.308471+00:00,20
112,one-arm-boxing,10,2026-07-29T00:01:01.091720+00:00,2026-07-29T00:01:03.388665+00:00,20
113,one-arm-boxing,11,2026-07-29T00:01:04.033971+00:00,2026-07-29T00:01:06.328120+00:00,20
114,one-arm-boxing,13,2026-07-29T00:01:46.961705+00:00,2026-07-29T00:01:52.511956+00:00,20
115,one-arm-boxing,14,2026-07-29T00:01:53.829217+00:00,2026-07-29T00:01:56.631437+00:00,20
116,clapping,0,2026-07-29T00:01:57.346119+00:00,2026-07-29T00:02:06.000054+00:00,20
117,clapping,1,2026-07-29T00:02:06.713787+00:00,2026-07-29T00:02:10.915023+00:00,20
118,clapping,2,2026-07-29T00:02:11.658310+00:00,2026-07-29T00:02:14.021645+00:00,20
119,clapping,3,2026-07-29T00:02:14.745422+00:00,2026-07-29T00:02:17.000542+00:00,20
120,clapping,4,2026-07-29T00:02:17.714914+00:00,2026-07-29T00:02:19.983220+00:00,20
121,clapping,6,2026-07-29T00:02:35.833743+00:00,2026-07-29T00:02:38.982563+00:00,20
122,clapping,7,2026-07-29T00:02:40.023294+00:00,2026-07-29T00:02:42.352371+00:00,20
123,clapping,8,2026-07-29T00:02:43.108344+00:00,2026-07-29T00:02:45.361650+00:00,20
124,clapping,9,2026-07-29T00:02:46.038012+00:00,2026-07-29T00:02:48.263532+00:00,20
125,clapping,10,2026-07-29T00:02:48.873325+00:00,2026-07-29T00:02:51.121484+00:00,20
126,clapping,11,2026-07-29T00:02:51.833137+00:00,2026-07-29T00:02:54.049181+00:00,20
127,clapping,13,2026-07-29T00:02:57.382581+00:00,2026-07-29T00:03:04.314566+00:00,20
128,clapping,14,2026-07-29T00:03:04.978016+00:00,2026-07-29T00:03:07.300586+00:00,20
129,two-arm-boxing,0,2026-07-29T00:03:09.373933+00:00,2026-07-29T00:03:28.140985+00:00,20
130,two-arm-boxing,1,2026-07-29T00:03:29.161021+00:00,2026-07-29T00:03:32.442491+00:00,20
131,two-arm-boxing,2,2026-07-29T00:03:33.508567+00:00,2026-07-29T00:03:36.438354+00:00,20
132,two-arm-boxing,3,2026-07-29T00:03:37.662309+00:00,2026-07-29T00:03:40.259381+00:00,20
133,two-arm-boxing,4,2026-07-29T00:03:41.601484+00:00,2026-07-29T00:03:44.170545+00:00,20
134,two-arm-boxing,5,2026-07-29T00:03:45.154713+00:00,2026-07-29T00:03:49.234928+00:00,20
135,two-arm-boxing,6,2026-07-29T00:03:49.996224+00:00,2026-07-29T00:03:52.310105+00:00,20
136,two-arm-boxing,7,2026-07-29T00:03:53.193967+00:00,2026-07-29T00:03:55.469887+00:00,20
137,two-arm-boxing,8,2026-07-29T00:03:56.215958+00:00,2026-07-29T00:03:58.499838+00:00,20
138,two-arm-boxing,9,2026-07-29T00:03:59.260386+00:00,2026-07-29T00:04:01.544559+00:00,20
139,two-arm-boxing,11,2026-07-29T00:04:08.393659+00:00,2026-07-29T00:04:10.544907+00:00,20
140,two-arm-boxing,13,2026-07-29T00:04:15.488603+00:00,2026-07-29T00:04:19.833677+00:00,20
141,two-arm-boxing,14,2026-07-29T00:04:21.059439+00:00,2026-07-29T00:04:23.714955+00:00,20
142,t-arm,1,2026-07-29T00:04:28.421180+00:00,2026-07-29T00:04:36.703127+00:00,20
143,t-arm,2,2026-07-29T00:04:38.430589+00:00,2026-07-29T00:05:25.230033+00:00,20
144,t-arm,3,2026-07-29T00:05:26.330995+00:00,2026-07-29T00:05:28.891632+00:00,20
145,t-arm,4,2026-07-29T00:05:29.645092+00:00,2026-07-29T00:05:32.503514+00:00,20
146,t-arm,5,2026-07-29T00:05:33.338684+00:00,2026-07-29T00:05:35.972999+00:00,20
147,t-arm,6,2026-07-29T00:05:37.444480+00:00,2026-07-29T00:05:40.021498+00:00,20
148,t-arm,7,2026-07-29T00:05:40.690274+00:00,2026-07-29T00:05:44.344773+00:00,20
149,t-arm,8,2026-07-29T00:05:45.242007+00:00,2026-07-29T00:05:47.909815+00:00,20
150,t-arm,9,2026-07-29T00:05:48.950124+00:00,2026-07-29T00:05:51.534910+00:00,20
151,t-arm,10,2026-07-29T00:05:52.713820+00:00,2026-07-29T00:05:55.464056+00:00,20
152,t-arm,11,2026-07-29T00:05:56.449850+00:00,2026-07-29T00:05:59.270831+00:00,20
153,t-arm,12,2026-07-29T00:06:00.522154+00:00,2026-07-29T00:06:03.485967+00:00,20
154,t-arm,13,2026-07-29T00:06:04.579249+00:00,2026-07-29T00:06:07.370774+00:00,20
155,t-arm,14,2026-07-29T00:06:09.001905+00:00,2026-07-29T00:06:11.980850+00:00,20
156,raise-arms,1,2026-07-29T00:06:18.188154+00:00,2026-07-29T00:06:22.493404+00:00,20
157,raise-arms,3,2026-07-29T00:06:33.718194+00:00,2026-07-29T00:06:39.010802+00:00,20
158,raise-arms,4,2026-07-29T00:06:40.171511+00:00,2026-07-29T00:06:42.830391+00:00,20
159,raise-arms,5,2026-07-29T00:06:43.605271+00:00,2026-07-29T00:06:46.310504+00:00,20
160,raise-arms,6,2026-07-29T00:06:46.995081+00:00,2026-07-29T00:06:49.290912+00:00,20
161,raise-arms,7,2026-07-29T00:06:49.983369+00:00,2026-07-29T00:06:54.350658+00:00,20
162,raise-arms,8,2026-07-29T00:06:55.120007+00:00,2026-07-29T00:06:58.230514+00:00,20
163,raise-arms,9,2026-07-29T00:06:59.030970+00:00,2026-07-29T00:07:01.711068+00:00,20
164,raise-arms,10,2026-07-29T00:07:02.441889+00:00,2026-07-29T00:07:04.719908+00:00,20
165,raise-arms,11,2026-07-29T00:07:05.452333+00:00,2026-07-29T00:07:08.432752+00:00,20
166,raise-arms,12,2026-07-29T00:07:09.207642+00:00,2026-07-29T00:07:11.861732+00:00,20
167,raise-arms,13,2026-07-29T00:07:12.648960+00:00,2026-07-29T00:07:15.250272+00:00,20
168,raise-arms,14,2026-07-29T00:07:15.958281+00:00,2026-07-29T00:07:18.855891+00:00,20
169,soli,0,2026-07-29T00:07:19.635563+00:00,2026-07-29T00:07:28.211600+00:00,20
170,soli,1,2026-07-29T00:07:28.917757+00:00,2026-07-29T00:07:31.650712+00:00,20
171,soli,2,2026-07-29T00:07:32.299186+00:00,2026-07-29T00:07:34.880304+00:00,20
172,soli,3,2026-07-29T00:07:35.557050+00:00,2026-07-29T00:08:03.751555+00:00,20
173,soli,4,2026-07-29T00:08:04.472691+00:00,2026-07-29T00:08:06.851330+00:00,20
174,soli,5,2026-07-29T00:08:07.482629+00:00,2026-07-29T00:08:09.764174+00:00,20
175,soli,6,2026-07-29T00:08:10.491051+00:00,2026-07-29T00:08:12.781910+00:00,20
