frame_index,timestamp,gesture,trial,elapsed
0,2026-07-29T17:39:13.832907+00:00,pull,0,4.8e-05
1,2026-07-29T17:39:13.933541+00:00,pull,0,0.100678
2,2026-07-29T17:39:14.034086+00:00,pull,0,0.201238
3,2026-07-29T17:39:14.134522+00:00,pull,0,0.301684
4,2026-07-29T17:39:14.234976+00:00,pull,0,0.402133
5,2026-07-29T17:39:14.335482+00:00,pull,0,0.502623
6,2026-07-29T17:39:14.435755+00:00,pull,0,0.602911
7,2026-07-29T17:39:14.536309+00:00,pull,0,0.703463
8,2026-07-29T17:39:14.637005+00:00,pull,0,0.804157
9,2026-07-29T17:39:14.737606+00:00,pull,0,0.904764
10,2026-07-29T17:39:14.837884+00:00,pull,0,1.00503
11,2026-07-29T17:39:14.938371+00:00,pull,0,1.10553
12,2026-07-29T17:39:15.038686+00:00,pull,0,1.205837
13,2026-07-29T17:39:15.139103+00:00,pull,0,1.306261
14,2026-07-29T17:39:15.239688+00:00,pull,0,1.406845
15,2026-07-29T17:39:15.340046+00:00,pull,0,1.507208
16,2026-07-29T17:39:15.440479+00:00,pull,0,1.607632
17,2026-07-29T17:39:15.540825+00:00,pull,0,1.708019
18,2026-07-29T17:39:15.641247+00:00,pull,0,1.808406
19,2026-07-29T17:39:15.741812+00:00,pull,0,1.908967
0,2026-07-29T17:39:19.633976+00:00,pull,1,3.3e-05
1,2026-07-29T17:39:19.734447+00:00,pull,1,0.100531
2,2026-07-29T17:39:19.834974+00:00,pull,1,0.201056
3,2026-07-29T17:39:19.935286+00:00,pull,1,0.301372
4,2026-07-29T17:39:20.035594+00:00,pull,1,0.401676
5,2026-07-29T17:39:20.135902+00:00,pull,1,0.501969
6,2026-07-29T17:39:20.236468+00:00,pull,1,0.602554
7,2026-07-29T17:39:20.336916+00:00,pull,1,0.702999
8,2026-07-29T17:39:20.437599+00:00,pull,1,0.803676
9,2026-07-29T17:39:20.538100+00:00,pull,1,0.904186
10,2026-07-29T17:39:20.638847+00:00,pull,1,1.004932
11,2026-07-29T17:39:20.739445+00:00,pull,1,1.105526
12,2026-07-29T17:39:20.840093+00:00,pull,1,1.206178
13,2026-07-29T17:39:20.940702+00:00,pull,1,1.306786
14,2026-07-29T17:39:21.041390+00:00,pull,1,1.407459
15,2026-07-29T17:39:21.141991+00:00,pull,1,1.508066
16,2026-07-29T17:39:21.242751+00:00,pull,1,1.608837
17,2026-07-29T17:39:21.342985+00:00,pull,1,1.709056
18,2026-07-29T17:39:21.443494+00:00,pull,1,1.809564
19,2026-07-29T17:39:21.543891+00:00,pull,1,1.909975
0,2026-07-29T17:39:24.526440+00:00,pull,2,7.1e-05
1,2026-07-29T17:39:24.626821+00:00,pull,2,0.100472
2,2026-07-29T17:39:24.727506+00:00,pull,2,0.201208
3,2026-07-29T17:39:24.828332+00:00,pull,2,0.301982
4,2026-07-29T17:39:24.928761+00:00,pull,2,0.4024
5,2026-07-29T17:39:25.029502+00:00,pull,2,0.503153
6,2026-07-29T17:39:25.129894+00:00,pull,2,0.603545
7,2026-07-29T17:39:25.230315+00:00,pull,2,0.703967
8,2026-07-29T17:39:25.330929+00:00,pull,2,0.804581
9,2026-07-29T17:39:25.431334+00:00,pull,2,0.904985
10,2026-07-29T17:39:25.531692+00:00,pull,2,1.005332
11,2026-07-29T17:39:25.632162+00:00,pull,2,1.105813
12,2026-07-29T17:39:25.732533+00:00,pull,2,1.206179
13,2026-07-29T17:39:25.833191+00:00,pull,2,1.306838
14,2026-07-29T17:39:25.933616+00:00,pull,2,1.407259
15,2026-07-29T17:39:26.034212+00:00,pull,2,1.507865
16,2026-07-29T17:39:26.134727+00:00,pull,2,1.608381
17,2026-07-29T17:39:26.235082+00:00,pull,2,1.708733
18,2026-07-29T17:39:26.335379+00:00,pull,2,1.809032
19,2026-07-29T17:39:26.436087+00:00,pull,2,1.909717
0,2026-07-29T17:39:29.265990+00:00,pull,3,3.6e-05
1,2026-07-29T17:39:29.366342+00:00,pull,3,0.100415
2,2026-07-29T17:39:29.466829+00:00,pull,3,0.200881
3,2026-07-29T17:39:29.567507+00:00,pull,3,0.301579
4,2026-07-29T17:39:29.667907+00:00,pull,3,0.401982
5,2026-07-29T17:39:29.768226+00:00,pull,3,0.50228
6,2026-07-29T17:39:29.868668+00:00,pull,3,0.602734
7,2026-07-29T17:39:29.969252+00:00,pull,3,0.703321
8,2026-07-29T17:39:30.069697+00:00,pull,3,0.803765
9,2026-07-29T17:39:30.170102+00:00,pull,3,0.904172
10,2026-07-29T17:39:30.270486+00:00,pull,3,1.004542
11,2026-07-29T17:39:30.370865+00:00,pull,3,1.104937
12,2026-07-29T17:39:30.471465+00:00,pull,3,1.205516
13,2026-07-29T17:39:30.571949+00:00,pull,3,1.306021
14,2026-07-29T17:39:30.672464+00:00,pull,3,1.40652
15,2026-07-29T17:39:30.772834+00:00,pull,3,1.506908
16,2026-07-29T17:39:30.873129+00:00,pull,3,1.607194
17,2026-07-29T17:39:30.973907+00:00,pull,3,1.707975
18,2026-07-29T17:39:31.074331+00:00,pull,3,1.808401
19,2026-07-29T17:39:31.174573+00:00,pull,3,1.90864
0,2026-07-29T17:39:33.881570+00:00,pull,4,4.2e-05
1,2026-07-29T17:39:33.982168+00:00,pull,4,0.100661
2,2026-07-29T17:39:34.082868+00:00,pull,4,0.201363
3,2026-07-29T17:39:34.183459+00:00,pull,4,0.301952
4,2026-07-29T17:39:34.284137+00:00,pull,4,0.402632
5,2026-07-29T17:39:34.384678+00:00,pull,4,0.503171
6,2026-07-29T17:39:34.484999+00:00,pull,4,0.603494
7,2026-07-29T17:39:34.585763+00:00,pull,4,0.704257
8,2026-07-29T17:39:34.686091+00:00,pull,4,0.804573
9,2026-07-29T17:39:34.786515+00:00,pull,4,0.905009
10,2026-07-29T17:39:34.887035+00:00,pull,4,1.005514
11,2026-07-29T17:39:34.987570+00:00,pull,4,1.106064
12,2026-07-29T17:39:35.088016+00:00,pull,4,1.206512
13,2026-07-29T17:39:35.188289+00:00,pull,4,1.306771
14,2026-07-29T17:39:35.288942+00:00,pull,4,1.407422
15,2026-07-29T17:39:35.389512+00:00,pull,4,1.507988
16,2026-07-29T17:39:35.489822+00:00,pull,4,1.608298
17,2026-07-29T17:39:35.590192+00:00,pull,4,1.708674
18,2026-07-29T17:39:35.690478+00:00,pull,4,1.808952
19,2026-07-29T17:39:35.790768+00:00,pull,4,1.909244
0,2026-07-29T17:39:38.716111+00:00,pull,5,5e-05
1,2026-07-29T17:39:38.816867+00:00,pull,5,0.100864
2,2026-07-29T17:39:38.917106+00:00,pull,5,0.201052
3,2026-07-29T17:39:39.017377+00:00,pull,5,0.301313
4,2026-07-29T17:39:39.117759+00:00,pull,5,0.401711
5,2026-07-29T17:39:39.218312+00:00,pull,5,0.50226
6,2026-07-29T17:39:39.318925+00:00,pull,5,0.602856
7,2026-07-29T17:39:39.419654+00:00,pull,5,0.703604
8,2026-07-29T17:39:39.519980+00:00,pull,5,0.803931
9,2026-07-29T17:39:39.620600+00:00,pull,5,0.904551
10,2026-07-29T17:39:39.721186+00:00,pull,5,1.005142
11,2026-07-29T17:39:39.821901+00:00,pull,5,1.105835
12,2026-07-29T17:39:39.922423+00:00,pull,5,1.206343
13,2026-07-29T17:39:40.022982+00:00,pull,5,1.306933
14,2026-07-29T17:39:40.123682+00:00,pull,5,1.407632
15,2026-07-29T17:39:40.224423+00:00,pull,5,1.508374
16,2026-07-29T17:39:40.324887+00:00,pull,5,1.60895
17,2026-07-29T17:39:40.425762+00:00,pull,5,1.709699
18,2026-07-29T17:39:40.526137+00:00,pull,5,1.810083
19,2026-07-29T17:39:40.626694+00:00,pull,5,1.910645
0,2026-07-29T17:40:08.206469+00:00,pull,6,3.3e-05
1,2026-07-29T17:40:08.306896+00:00,pull,6,0.10049
2,2026-07-29T17:40:08.407258+00:00,pull,6,0.200847
3,2026-07-29T17:40:08.507768+00:00,pull,6,0.301358
4,2026-07-29T17:40:08.608231+00:00,pull,6,0.401795
5,2026-07-29T17:40:08.708958+00:00,pull,6,0.502555
6,2026-07-29T17:40:08.809477+00:00,pull,6,0.603056
7,2026-07-29T17:40:08.910080+00:00,pull,6,0.703671
8,2026-07-29T17:40:09.010597+00:00,pull,6,0.804187
9,2026-07-29T17:40:09.110885+00:00,pull,6,0.904462
10,2026-07-29T17:40:09.211606+00:00,pull,6,1.005199
11,2026-07-29T17:40:09.312343+00:00,pull,6,1.105936
12,2026-07-29T17:40:09.412651+00:00,pull,6,1.206227
13,2026-07-29T17:40:09.513243+00:00,pull,6,1.306828
14,2026-07-29T17:40:09.613890+00:00,pull,6,1.407468
15,2026-07-29T17:40:09.714332+00:00,pull,6,1.507931
16,2026-07-29T17:40:09.814624+00:00,pull,6,1.608186
17,2026-07-29T17:40:09.915017+00:00,pull,6,1.708581
18,2026-07-29T17:40:10.015283+00:00,pull,6,1.808875
19,2026-07-29T17:40:10.115901+00:00,pull,6,1.90948
0,2026-07-29T17:40:12.456015+00:00,pull,7,3.3e-05
1,2026-07-29T17:40:12.556545+00:00,pull,7,0.100578
2,2026-07-29T17:40:12.657093+00:00,pull,7,0.20114
3,2026-07-29T17:40:12.757442+00:00,pull,7,0.301473
4,2026-07-29T17:40:12.857699+00:00,pull,7,0.401739
5,2026-07-29T17:40:12.958181+00:00,pull,7,0.502229
6,2026-07-29T17:40:13.058706+00:00,pull,7,0.602753
7,2026-07-29T17:40:13.159361+00:00,pull,7,0.703435
8,2026-07-29T17:40:13.259779+00:00,pull,7,0.803826
9,2026-07-29T17:40:13.360504+00:00,pull,7,0.904552
10,2026-07-29T17:40:13.460820+00:00,pull,7,1.00486
11,2026-07-29T17:40:13.561592+00:00,pull,7,1.105637
12,2026-07-29T17:40:13.662166+00:00,pull,7,1.206212
13,2026-07-29T17:40:13.762899+00:00,pull,7,1.306929
14,2026-07-29T17:40:13.863632+00:00,pull,7,1.407679
15,2026-07-29T17:40:13.964099+00:00,pull,7,1.508196
16,2026-07-29T17:40:14.064551+00:00,pull,7,1.608599
17,2026-07-29T17:40:14.164945+00:00,pull,7,1.708975
18,2026-07-29T17:40:14.265501+00:00,pull,7,1.809518
19,2026-07-29T17:40:14.366090+00:00,pull,7,1.910137
0,2026-07-29T17:40:16.724286+00:00,pull,8,3.9e-05
1,2026-07-29T17:40:16.824722+00:00,pull,8,0.100479
2,2026-07-29T17:40:16.925045+00:00,pull,8,0.200804
3,2026-07-29T17:40:17.025371+00:00,pull,8,0.301147
4,2026-07-29T17:40:17.125804+00:00,pull,8,0.401566
5,2026-07-29T17:40:17.226218+00:00,pull,8,0.501994
6,2026-07-29T17:40:17.326775+00:00,pull,8,0.602554
7,2026-07-29T17:40:17.427167+00:00,pull,8,0.70294
8,2026-07-29T17:40:17.527884+00:00,pull,8,0.803658
9,2026-07-29T17:40:17.628608+00:00,pull,8,0.904385
10,2026-07-29T17:40:17.729122+00:00,pull,8,1.004881
11,2026-07-29T17:40:17.829399+00:00,pull,8,1.105162
12,2026-07-29T17:40:17.929841+00:00,pull,8,1.205585
13,2026-07-29T17:40:18.030274+00:00,pull,8,1.306048
14,2026-07-29T17:40:18.130666+00:00,pull,8,1.40642
15,2026-07-29T17:40:18.231153+00:00,pull,8,1.50693
16,2026-07-29T17:40:18.331870+00:00,pull,8,1.607648
17,2026-07-29T17:40:18.432299+00:00,pull,8,1.708072
18,2026-07-29T17:40:18.532592+00:00,pull,8,1.808363
19,2026-07-29T17:40:18.633032+00:00,pull,8,1.908812
0,2026-07-29T17:40:20.815913+00:00,pull,9,4.6e-05
1,2026-07-29T17:40:20.916479+00:00,pull,9,0.100622
2,2026-07-29T17:40:21.017178+00:00,pull,9,0.201313
3,2026-07-29T17:40:21.117473+00:00,pull,9,0.301617
4,2026-07-29T17:40:21.218152+00:00,pull,9,0.402302
5,2026-07-29T17:40:21.318571+00:00,pull,9,0.502715
6,2026-07-29T17:40:21.419060+00:00,pull,9,0.603209
7,2026-07-29T17:40:21.519518+00:00,pull,9,0.703652
8,2026-07-29T17:40:21.620021+00:00,pull,9,0.80416
9,2026-07-29T17:40:21.720455+00:00,pull,9,0.904606
10,2026-07-29T17:40:21.820967+00:00,pull,9,1.005112
11,2026-07-29T17:40:21.921479+00:00,pull,9,1.10562
12,2026-07-29T17:40:22.022032+00:00,pull,9,1.206159
13,2026-07-29T17:40:22.122307+00:00,pull,9,1.30646
14,2026-07-29T17:40:22.222770+00:00,pull,9,1.406906
15,2026-07-29T17:40:22.323324+00:00,pull,9,1.507477
16,2026-07-29T17:40:22.423830+00:00,pull,9,1.607967
17,2026-07-29T17:40:22.524172+00:00,pull,9,1.708305
18,2026-07-29T17:40:22.624808+00:00,pull,9,1.808965
19,2026-07-29T17:40:22.725371+00:00,pull,9,1.90952
0,2026-07-29T17:40:25.016659+00:00,pull,10,4.3e-05
