frame_index,timestamp,gesture,trial,elapsed,collector
0,2026-07-29T21:51:53.599485+00:00,bye-bye,0,0.0,student03
1,2026-07-29T21:51:53.703752+00:00,bye-bye,0,0.11,student03
2,2026-07-29T21:51:53.804098+00:00,bye-bye,0,0.204,student03
3,2026-07-29T21:51:53.904355+00:00,bye-bye,0,0.313,student03
4,2026-07-29T21:51:54.006948+00:00,bye-bye,0,0.407,student03
5,2026-07-29T21:51:54.106805+00:00,bye-bye,0,0.5,student03
6,2026-07-29T21:51:54.206721+00:00,bye-bye,0,0.61,student03
7,2026-07-29T21:51:54.307731+00:00,bye-bye,0,0.704,student03
8,2026-07-29T21:51:54.401798+00:00,bye-bye,0,0.797,student03
9,2026-07-29T21:51:54.492920+00:00,bye-bye,0,0.891,student03
10,2026-07-29T21:51:54.583196+00:00,bye-bye,0,0.985,student03
11,2026-07-29T21:51:54.691965+00:00,bye-bye,0,1.094,student03
12,2026-07-29T21:51:54.798588+00:00,bye-bye,0,1.204,student03
13,2026-07-29T21:51:54.909352+00:00,bye-bye,0,1.313,student03
14,2026-07-29T21:51:55.019205+00:00,bye-bye,0,1.422,student03
15,2026-07-29T21:51:55.128831+00:00,bye-bye,0,1.532,student03
16,2026-07-29T21:51:55.227270+00:00,bye-bye,0,1.625,student03
17,2026-07-29T21:51:55.322914+00:00,bye-bye,0,1.719,student03
18,2026-07-29T21:51:55.416981+00:00,bye-bye,0,1.813,student03
19,2026-07-29T21:51:55.516892+00:00,bye-bye,0,1.922,student03
0,2026-07-29T21:52:47.743331+00:00,one-arm-boxing,0,0.0,student03
1,2026-07-29T21:52:47.834919+00:00,one-arm-boxing,0,0.094,student03
2,2026-07-29T21:52:47.933380+00:00,one-arm-boxing,0,0.188,student03
3,2026-07-29T21:52:48.036496+00:00,one-arm-boxing,0,0.297,student03
4,2026-07-29T21:52:48.135076+00:00,one-arm-boxing,0,0.391,student03
5,2026-07-29T21:52:48.226096+00:00,one-arm-boxing,0,0.484,student03
6,2026-07-29T21:52:48.319283+00:00,one-arm-boxing,0,0.578,student03
7,2026-07-29T21:52:48.414569+00:00,one-arm-boxing,0,0.672,student03
8,2026-07-29T21:52:48.515291+00:00,one-arm-boxing,0,0.781,student03
9,2026-07-29T21:52:48.618332+00:00,one-arm-boxing,0,0.875,student03
10,2026-07-29T21:52:48.718894+00:00,one-arm-boxing,0,0.984,student03
11,2026-07-29T21:52:48.817650+00:00,one-arm-boxing,0,1.078,student03
12,2026-07-29T21:52:48.918487+00:00,one-arm-boxing,0,1.172,student03
13,2026-07-29T21:52:49.014772+00:00,one-arm-boxing,0,1.281,student03
14,2026-07-29T21:52:49.115530+00:00,one-arm-boxing,0,1.375,student03
15,2026-07-29T21:52:49.208688+00:00,one-arm-boxing,0,1.469,student03
16,2026-07-29T21:52:49.306287+00:00,one-arm-boxing,0,1.563,student03
17,2026-07-29T21:52:49.405747+00:00,one-arm-boxing,0,1.672,student03
18,2026-07-29T21:52:49.514292+00:00,one-arm-boxing,0,1.781,student03
19,2026-07-29T21:52:49.620426+00:00,one-arm-boxing,0,1.875,student03
20,2026-07-29T21:52:49.714568+00:00,one-arm-boxing,0,1.969,student03
0,2026-07-29T21:52:53.330807+00:00,bye-bye,1,0.0,student03
1,2026-07-29T21:52:53.437051+00:00,bye-bye,1,0.109,student03
2,2026-07-29T21:52:53.550274+00:00,bye-bye,1,0.219,student03
3,2026-07-29T21:52:53.649405+00:00,bye-bye,1,0.312,student03
4,2026-07-29T21:52:53.744778+00:00,bye-bye,1,0.406,student03
5,2026-07-29T21:52:53.834963+00:00,bye-bye,1,0.5,student03
6,2026-07-29T21:52:53.929500+00:00,bye-bye,1,0.594,student03
7,2026-07-29T21:52:54.029521+00:00,bye-bye,1,0.703,student03
8,2026-07-29T21:52:54.135550+00:00,bye-bye,1,0.797,student03
9,2026-07-29T21:52:54.236241+00:00,bye-bye,1,0.906,student03
10,2026-07-29T21:52:54.337938+00:00,bye-bye,1,1.0,student03
11,2026-07-29T21:52:54.437400+00:00,bye-bye,1,1.109,student03
12,2026-07-29T21:52:54.552032+00:00,bye-bye,1,1.219,student03
13,2026-07-29T21:52:54.659071+00:00,bye-bye,1,1.328,student03
14,2026-07-29T21:52:54.755394+00:00,bye-bye,1,1.422,student03
15,2026-07-29T21:52:54.861230+00:00,bye-bye,1,1.531,student03
16,2026-07-29T21:52:54.957957+00:00,bye-bye,1,1.625,student03
17,2026-07-29T21:52:55.059296+00:00,bye-bye,1,1.719,student03
18,2026-07-29T21:52:55.156080+00:00,bye-bye,1,1.828,student03
19,2026-07-29T21:52:55.258289+00:00,bye-bye,1,1.922,student03
0,2026-07-29T21:52:57.628952+00:00,one-arm-boxing,1,0.0,student03
1,2026-07-29T21:52:57.726042+00:00,one-arm-boxing,1,0.093,student03
2,2026-07-29T21:52:57.825613+00:00,one-arm-boxing,1,0.187,student03
3,2026-07-29T21:52:57.925457+00:00,one-arm-boxing,1,0.297,student03
4,2026-07-29T21:52:58.025768+00:00,one-arm-boxing,1,0.39,student03
5,2026-07-29T21:52:58.125184+00:00,one-arm-boxing,1,0.5,student03
6,2026-07-29T21:52:58.234839+00:00,one-arm-boxing,1,0.609,student03
7,2026-07-29T21:52:58.341096+00:00,one-arm-boxing,1,0.703,student03
8,2026-07-29T21:52:58.440784+00:00,one-arm-boxing,1,0.812,student03
9,2026-07-29T21:52:58.539791+00:00,one-arm-boxing,1,0.906,student03
10,2026-07-29T21:52:58.634591+00:00,one-arm-boxing,1,1.0,student03
11,2026-07-29T21:52:58.730011+00:00,one-arm-boxing,1,1.093,student03
12,2026-07-29T21:52:58.819289+00:00,one-arm-boxing,1,1.187,student03
13,2026-07-29T21:52:58.920192+00:00,one-arm-boxing,1,1.297,student03
14,2026-07-29T21:52:59.032196+00:00,one-arm-boxing,1,1.406,student03
15,2026-07-29T21:52:59.136124+00:00,one-arm-boxing,1,1.5,student03
16,2026-07-29T21:52:59.223693+00:00,one-arm-boxing,1,1.593,student03
17,2026-07-29T21:52:59.331384+00:00,one-arm-boxing,1,1.703,student03
18,2026-07-29T21:52:59.441310+00:00,one-arm-boxing,1,1.812,student03
19,2026-07-29T21:52:59.538910+00:00,one-arm-boxing,1,1.906,student03
0,2026-07-29T21:53:01.768734+00:00,bye-bye,2,0.0,student03
1,2026-07-29T21:53:01.868531+00:00,bye-bye,2,0.094,student03
2,2026-07-29T21:53:01.966110+00:00,bye-bye,2,0.188,student03
3,2026-07-29T21:53:02.059385+00:00,bye-bye,2,0.282,student03
4,2026-07-29T21:53:02.156289+00:00,bye-bye,2,0.391,student03
5,2026-07-29T21:53:02.258248+00:00,bye-bye,2,0.485,student03
6,2026-07-29T21:53:02.356400+00:00,bye-bye,2,0.578,student03
7,2026-07-29T21:53:02.454953+00:00,bye-bye,2,0.688,student03
8,2026-07-29T21:53:02.555983+00:00,bye-bye,2,0.782,student03
9,2026-07-29T21:53:02.649872+00:00,bye-bye,2,0.875,student03
10,2026-07-29T21:53:02.749177+00:00,bye-bye,2,0.985,student03
11,2026-07-29T21:53:02.850215+00:00,bye-bye,2,1.078,student03
12,2026-07-29T21:53:02.948977+00:00,bye-bye,2,1.172,student03
13,2026-07-29T21:53:03.045076+00:00,bye-bye,2,1.282,student03
14,2026-07-29T21:53:03.154791+00:00,bye-bye,2,1.391,student03
15,2026-07-29T21:53:03.265578+00:00,bye-bye,2,1.5,student03
16,2026-07-29T21:53:03.374791+00:00,bye-bye,2,1.61,student03
17,2026-07-29T21:53:03.484498+00:00,bye-bye,2,1.719,student03
18,2026-07-29T21:53:03.591178+00:00,bye-bye,2,1.813,student03
19,2026-07-29T21:53:03.685456+00:00,bye-bye,2,1.922,student03
0,2026-07-29T21:53:05.571964+00:00,one-arm-boxing,2,0.0,student03
1,2026-07-29T21:53:05.675569+00:00,one-arm-boxing,2,0.11,student03
2,2026-07-29T21:53:05.776589+00:00,one-arm-boxing,2,0.203,student03
3,2026-07-29T21:53:05.874917+00:00,one-arm-boxing,2,0.313,student03
4,2026-07-29T21:53:05.984800+00:00,one-arm-boxing,2,0.422,student03
5,2026-07-29T21:53:06.090789+00:00,one-arm-boxing,2,0.516,student03
6,2026-07-29T21:53:06.185851+00:00,one-arm-boxing,2,0.625,student03
7,2026-07-29T21:53:06.301268+00:00,one-arm-boxing,2,0.735,student03
8,2026-07-29T21:53:06.409848+00:00,one-arm-boxing,2,0.844,student03
9,2026-07-29T21:53:06.508670+00:00,one-arm-boxing,2,0.938,student03
10,2026-07-29T21:53:06.610307+00:00,one-arm-boxing,2,1.047,student03
11,2026-07-29T21:53:06.721255+00:00,one-arm-boxing,2,1.156,student03
12,2026-07-29T21:53:06.818389+00:00,one-arm-boxing,2,1.25,student03
13,2026-07-29T21:53:06.914917+00:00,one-arm-boxing,2,1.344,student03
14,2026-07-29T21:53:07.005213+00:00,one-arm-boxing,2,1.438,student03
15,2026-07-29T21:53:07.111663+00:00,one-arm-boxing,2,1.547,student03
16,2026-07-29T21:53:07.221547+00:00,one-arm-boxing,2,1.656,student03
17,2026-07-29T21:53:07.318212+00:00,one-arm-boxing,2,1.75,student03
18,2026-07-29T21:53:07.414478+00:00,one-arm-boxing,2,1.844,student03
19,2026-07-29T21:53:07.510001+00:00,one-arm-boxing,2,1.938,student03
0,2026-07-29T21:53:11.798282+00:00,bye-bye,3,0.0,student03
1,2026-07-29T21:53:11.911053+00:00,bye-bye,3,0.109,student03
2,2026-07-29T21:53:12.005568+00:00,bye-bye,3,0.203,student03
3,2026-07-29T21:53:12.110470+00:00,bye-bye,3,0.312,student03
4,2026-07-29T21:53:12.215645+00:00,bye-bye,3,0.406,student03
5,2026-07-29T21:53:12.304423+00:00,bye-bye,3,0.5,student03
6,2026-07-29T21:53:12.406635+00:00,bye-bye,3,0.609,student03
7,2026-07-29T21:53:12.505893+00:00,bye-bye,3,0.703,student03
8,2026-07-29T21:53:12.599899+00:00,bye-bye,3,0.796,student03
9,2026-07-29T21:53:12.696075+00:00,bye-bye,3,0.89,student03
10,2026-07-29T21:53:12.799443+00:00,bye-bye,3,1.0,student03
11,2026-07-29T21:53:12.896786+00:00,bye-bye,3,1.093,student03
12,2026-07-29T21:53:12.995916+00:00,bye-bye,3,1.187,student03
13,2026-07-29T21:53:13.088967+00:00,bye-bye,3,1.281,student03
14,2026-07-29T21:53:13.186367+00:00,bye-bye,3,1.39,student03
15,2026-07-29T21:53:13.285704+00:00,bye-bye,3,1.484,student03
16,2026-07-29T21:53:13.394314+00:00,bye-bye,3,1.593,student03
17,2026-07-29T21:53:13.495839+00:00,bye-bye,3,1.687,student03
18,2026-07-29T21:53:13.585994+00:00,bye-bye,3,1.781,student03
19,2026-07-29T21:53:13.680432+00:00,bye-bye,3,1.875,student03
20,2026-07-29T21:53:13.776573+00:00,bye-bye,3,1.968,student03
0,2026-07-29T21:53:17.485296+00:00,one-arm-boxing,3,0.0,student03
1,2026-07-29T21:53:17.585217+00:00,one-arm-boxing,3,0.094,student03
2,2026-07-29T21:53:17.680640+00:00,one-arm-boxing,3,0.188,student03
3,2026-07-29T21:53:17.779871+00:00,one-arm-boxing,3,0.297,student03
4,2026-07-29T21:53:17.892355+00:00,one-arm-boxing,3,0.406,student03
5,2026-07-29T21:53:17.996248+00:00,one-arm-boxing,3,0.5,student03
6,2026-07-29T21:53:18.086218+00:00,one-arm-boxing,3,0.594,student03
7,2026-07-29T21:53:18.179763+00:00,one-arm-boxing,3,0.688,student03
8,2026-07-29T21:53:18.271552+00:00,one-arm-boxing,3,0.781,student03
