trial_index,gesture,trial_num,start_timestamp,end_timestamp,num_frames
0,push,0,2026-07-27T13:01:52.668278+00:00,2026-07-27T13:01:59.067546+00:00,20
1,push,1,2026-07-27T13:02:01.846963+00:00,2026-07-27T13:02:06.473688+00:00,20
2,push,2,2026-07-27T13:02:08.053301+00:00,2026-07-27T13:02:10.923143+00:00,20
3,push,3,2026-07-27T13:02:12.442290+00:00,2026-07-27T13:02:15.530998+00:00,20
4,push,4,2026-07-27T13:02:16.773438+00:00,2026-07-27T13:02:21.212656+00:00,20
5,push,5,2026-07-27T13:02:23.090221+00:00,2026-07-27T13:02:25.954776+00:00,20
6,push,6,2026-07-27T13:02:27.375354+00:00,2026-07-27T13:02:30.258360+00:00,20
7,push,7,2026-07-27T13:02:31.717635+00:00,2026-07-27T13:02:34.896523+00:00,20
8,push,8,2026-07-27T13:02:36.312207+00:00,2026-07-27T13:02:39.467861+00:00,20
9,push,9,2026-07-27T13:02:40.751224+00:00,2026-07-27T13:02:43.449478+00:00,20
10,push,10,2026-07-27T13:02:45.294697+00:00,2026-07-27T13:02:48.124664+00:00,20
11,push,11,2026-07-27T13:02:49.537100+00:00,2026-07-27T13:02:53.059367+00:00,20
12,push,12,2026-07-27T13:02:55.088505+00:00,2026-07-27T13:02:59.724502+00:00,20
13,push,13,2026-07-27T13:03:01.118008+00:00,2026-07-27T13:03:05.173767+00:00,20
14,push,14,2026-07-27T13:03:06.890865+00:00,2026-07-27T13:03:10.224010+00:00,20
15,pull,0,2026-07-27T13:03:11.832338+00:00,2026-07-27T13:03:18.516014+00:00,20
16,pull,1,2026-07-27T13:03:19.648409+00:00,2026-07-27T13:03:23.414689+00:00,20
17,pull,2,2026-07-27T13:03:24.739356+00:00,2026-07-27T13:03:27.715100+00:00,20
18,pull,3,2026-07-27T13:03:29.000943+00:00,2026-07-27T13:03:32.497688+00:00,20
19,pull,4,2026-07-27T13:03:33.884151+00:00,2026-07-27T13:03:37.492304+00:00,20
20,pull,5,2026-07-27T13:03:39.677782+00:00,2026-07-27T13:03:43.356944+00:00,20
21,pull,6,2026-07-27T13:03:44.474709+00:00,2026-07-27T13:03:48.463176+00:00,20
22,pull,7,2026-07-27T13:03:49.079199+00:00,2026-07-27T13:03:52.656113+00:00,20
23,pull,8,2026-07-27T13:03:53.454590+00:00,2026-07-27T13:03:56.929229+00:00,20
24,pull,9,2026-07-27T13:03:57.569878+00:00,2026-07-27T13:04:00.886306+00:00,20
25,pull,10,2026-07-27T13:04:03.908201+00:00,2026-07-27T13:04:07.200349+00:00,20
26,pull,11,2026-07-27T13:04:08.414120+00:00,2026-07-27T13:04:12.374899+00:00,20
27,pull,12,2026-07-27T13:04:13.824201+00:00,2026-07-27T13:04:19.085157+00:00,20
28,pull,13,2026-07-27T13:04:21.121523+00:00,2026-07-27T13:04:26.532688+00:00,20
29,pull,14,2026-07-27T13:04:31.376552+00:00,2026-07-27T13:04:36.400114+00:00,20
