frame_index,timestamp,gesture,trial,elapsed
0,2026-07-28T03:45:49.244743+00:00,soli,0,0.0
1,2026-07-28T03:45:49.347482+00:00,soli,0,0.109
2,2026-07-28T03:45:49.449910+00:00,soli,0,0.203
3,2026-07-28T03:45:49.535979+00:00,soli,0,0.297
4,2026-07-28T03:45:49.637544+00:00,soli,0,0.391
5,2026-07-28T03:45:49.739103+00:00,soli,0,0.5
6,2026-07-28T03:45:49.840288+00:00,soli,0,0.594
7,2026-07-28T03:45:49.941798+00:00,soli,0,0.703
8,2026-07-28T03:45:50.049365+00:00,soli,0,0.813
9,2026-07-28T03:45:50.150560+00:00,soli,0,0.906
0,2026-07-28T03:45:54.520499+00:00,soli,1,0.0
1,2026-07-28T03:45:54.622101+00:00,soli,1,0.094
2,2026-07-28T03:45:54.723710+00:00,soli,1,0.203
3,2026-07-28T03:45:54.824810+00:00,soli,1,0.297
4,2026-07-28T03:45:54.925778+00:00,soli,1,0.407
5,2026-07-28T03:45:55.027359+00:00,soli,1,0.5
6,2026-07-28T03:45:55.128443+00:00,soli,1,0.61
7,2026-07-28T03:45:55.232118+00:00,soli,1,0.703
8,2026-07-28T03:45:55.324218+00:00,soli,1,0.797
9,2026-07-28T03:45:55.425313+00:00,soli,1,0.907
0,2026-07-28T03:45:57.591507+00:00,soli,2,0.0
1,2026-07-28T03:45:57.678617+00:00,soli,2,0.094
2,2026-07-28T03:45:57.779743+00:00,soli,2,0.203
3,2026-07-28T03:45:57.881400+00:00,soli,2,0.297
4,2026-07-28T03:45:57.983519+00:00,soli,2,0.406
5,2026-07-28T03:45:58.085110+00:00,soli,2,0.5
6,2026-07-28T03:45:58.186228+00:00,soli,2,0.609
7,2026-07-28T03:45:58.288205+00:00,soli,2,0.703
8,2026-07-28T03:45:58.389336+00:00,soli,2,0.812
9,2026-07-28T03:45:58.491110+00:00,soli,2,0.906
0,2026-07-28T03:46:01.260891+00:00,soli,3,0.0
1,2026-07-28T03:46:01.362912+00:00,soli,3,0.109
2,2026-07-28T03:46:01.464039+00:00,soli,3,0.203
3,2026-07-28T03:46:01.565643+00:00,soli,3,0.312
4,2026-07-28T03:46:01.666768+00:00,soli,3,0.406
5,2026-07-28T03:46:01.762818+00:00,soli,3,0.5
6,2026-07-28T03:46:01.864077+00:00,soli,3,0.609
7,2026-07-28T03:46:01.965607+00:00,soli,3,0.703
8,2026-07-28T03:46:02.055706+00:00,soli,3,0.797
9,2026-07-28T03:46:02.160288+00:00,soli,3,0.906
0,2026-07-28T03:46:11.597498+00:00,making-fist-open,1,0.0
1,2026-07-28T03:46:11.699331+00:00,making-fist-open,1,0.094
2,2026-07-28T03:46:11.800439+00:00,making-fist-open,1,0.204
3,2026-07-28T03:46:11.901594+00:00,making-fist-open,1,0.297
4,2026-07-28T03:46:12.002713+00:00,making-fist-open,1,0.407
5,2026-07-28T03:46:12.103832+00:00,making-fist-open,1,0.5
6,2026-07-28T03:46:12.205420+00:00,making-fist-open,1,0.61
7,2026-07-28T03:46:12.307083+00:00,making-fist-open,1,0.704
8,2026-07-28T03:46:12.402213+00:00,making-fist-open,1,0.797
9,2026-07-28T03:46:12.503552+00:00,making-fist-open,1,0.907
0,2026-07-28T03:46:34.435363+00:00,making-fist-open,2,0.0
1,2026-07-28T03:46:34.537770+00:00,making-fist-open,2,0.094
2,2026-07-28T03:46:34.639869+00:00,making-fist-open,2,0.203
3,2026-07-28T03:46:34.740858+00:00,making-fist-open,2,0.297
4,2026-07-28T03:46:34.842485+00:00,making-fist-open,2,0.406
5,2026-07-28T03:46:34.943634+00:00,making-fist-open,2,0.5
6,2026-07-28T03:46:35.045286+00:00,making-fist-open,2,0.61
7,2026-07-28T03:46:35.146824+00:00,making-fist-open,2,0.703
8,2026-07-28T03:46:35.252413+00:00,making-fist-open,2,0.813
9,2026-07-28T03:46:35.353770+00:00,making-fist-open,2,0.906
0,2026-07-28T03:46:37.589931+00:00,making-fist-open,3,0.0
1,2026-07-28T03:46:37.691557+00:00,making-fist-open,3,0.109
2,2026-07-28T03:46:37.793151+00:00,making-fist-open,3,0.203
3,2026-07-28T03:46:37.894661+00:00,making-fist-open,3,0.312
4,2026-07-28T03:46:37.996064+00:00,making-fist-open,3,0.406
5,2026-07-28T03:46:38.097174+00:00,making-fist-open,3,0.515
6,2026-07-28T03:46:38.198783+00:00,making-fist-open,3,0.609
7,2026-07-28T03:46:38.299879+00:00,making-fist-open,3,0.719
8,2026-07-28T03:46:38.396052+00:00,making-fist-open,3,0.812
9,2026-07-28T03:46:38.493186+00:00,making-fist-open,3,0.906
