frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,-0.269,0.921,0.109,-8.39,-14.37,-9.43,null,null
1,0.95,-0.276,0.999,-0.012,18.98,-6.81,1.01,null,null
2,0.95,-0.22,1.018,-0.051,-46.48,22.86,20.57,null,null
3,0.95,-0.255,0.808,0.108,27.38,-47.67,-38.51,null,null
4,0.95,-0.263,0.963,-0.051,-4.43,-2.08,1.68,null,null
5,0.95,-0.3,0.974,0.106,-45.35,7.2,19.35,null,null
6,0.95,-0.3,0.9,0.124,59.39,-39.7,-10.93,null,null
7,0.95,-0.293,0.97,-0.016,-6.62,10.62,3.05,null,null
8,0.95,-0.235,0.962,0.027,-37.57,11.93,7.9,null,null
9,0.95,-0.314,0.821,0.262,1.13,-26.86,-12.85,null,null
10,0.95,-0.27,0.973,-0.056,27.62,0.95,-11.11,null,null
11,0.95,-0.373,1.017,-0.015,-39.74,33.75,1.77,null,null
12,0.95,-0.41,0.986,0.099,-117.1,42.33,87.22,null,null
13,0.95,-0.075,0.981,0.305,-202.06,-21.12,130.86,null,null
14,0.95,0.331,0.41,0.816,-97.29,14.1,80.08,null,null
15,0.95,-0.14,1.04,-0.007,37.9,-35.95,-2.38,null,null
16,0.95,-0.101,1.009,0.145,4.79,10.99,7.05,null,null
17,0.95,-0.093,1.0,0.002,70.22,-19.99,-11.11,null,null
18,0.95,-0.132,1.046,-0.177,-116.12,-19.5,7.54,null,null
19,0.95,-0.115,0.948,0.259,-10.65,-38.61,14.37,null,null
20,0.95,-0.115,1.033,-0.145,76.42,-18.43,-4.33,null,null
21,0.95,-0.055,0.972,-0.084,-43.43,24.26,9.34,null,null
22,0.95,-0.017,0.971,0.142,-12.7,-8.15,12.21,null,null
23,0.95,-0.105,1.06,0.089,40.25,-30.3,-37.51,null,null
24,0.95,-0.081,1.02,-0.053,-8.7,15.72,2.62,null,null
25,0.95,-0.104,0.971,0.128,-20.05,10.28,-0.95,null,null
26,0.95,-0.115,0.988,-0.021,39.34,-16.69,-9.09,null,null
27,0.95,-0.071,1.016,0.01,-56.83,18.4,11.93,null,null
28,0.95,-0.089,0.99,0.136,61.31,-75.29,2.2,null,null
0,0.95,-0.117,1.068,0.032,9.92,11.35,-2.26,null,null
1,0.95,-0.051,0.956,0.049,-48.68,13.67,26.34,null,null
2,0.95,-0.035,1.004,0.088,40.68,-48.68,-19.04,null,null
3,0.95,-0.063,0.955,0.017,-11.08,7.78,-4.79,null,null
4,0.95,-0.073,1.009,0.03,-59.82,20.29,24.41,null,null
5,0.95,-0.182,0.875,0.254,11.57,-24.51,-22.43,null,null
6,0.95,-0.075,1.005,0.081,8.58,-1.86,4.36,null,null
7,0.95,-0.088,1.054,0.137,-62.81,-7.05,37.84,null,null
8,0.95,-0.028,1.036,0.2,64.91,-36.47,-50.02,null,null
9,0.95,-0.062,1.043,-0.101,9.37,13.31,-9.64,null,null
10,0.95,-0.037,1.014,0.009,-28.99,21.52,12.18,null,null
11,0.95,-0.063,1.043,0.051,15.17,48.43,4.03,null,null
12,0.95,-0.012,1.009,0.139,-23.74,9.43,5.52,null,null
13,0.95,0.036,0.958,0.233,-30.61,-3.48,11.2,null,null
14,0.95,-0.001,0.96,0.201,0.79,4.0,0.12,null,null
15,0.95,0.028,0.981,0.077,-8.64,-17.15,0.73,null,null
16,0.95,-0.032,0.976,0.141,-31.43,2.2,11.51,null,null
17,0.95,0.124,0.986,0.199,62.9,-64.15,-28.87,null,null
18,0.95,0.022,1.009,0.126,-9.77,-4.76,35.22,null,null
19,0.95,0.094,0.954,0.227,-11.63,-2.81,-3.48,null,null
20,0.95,-0.013,0.995,0.21,7.29,3.88,-15.32,null,null
21,0.95,-0.03,1.005,0.15,-14.92,23.38,27.25,null,null
22,0.95,0.05,0.854,0.321,-23.19,27.01,-2.59,null,null
23,0.95,0.028,0.991,0.213,2.75,22.95,-8.79,null,null
24,0.95,0.141,0.98,0.227,-27.38,10.01,27.25,null,null
25,0.95,-0.044,0.877,0.42,3.42,-49.35,18.52,null,null
26,0.95,0.056,0.914,0.257,7.02,6.78,0.52,null,null
27,0.95,0.123,0.946,0.212,-45.2,17.88,11.29,null,null
28,0.95,0.155,0.925,0.354,66.53,-49.93,-19.38,null,null
0,0.95,0.055,0.986,0.119,18.8,27.01,1.8,null,null
1,0.95,0.02,0.991,0.272,-35.77,15.26,1.1,null,null
2,0.95,0.151,0.98,0.226,62.84,-34.21,-17.64,null,null
3,0.95,0.048,0.989,0.155,12.97,10.38,15.41,null,null
4,0.95,0.066,0.957,0.23,-46.33,21.61,1.65,null,null
5,0.95,0.154,0.939,0.276,65.61,-32.26,-16.27,null,null
6,0.95,0.044,0.96,0.172,5.01,8.39,1.65,null,null
7,0.95,0.046,0.921,0.3,-28.75,13.55,4.46,null,null
8,0.95,0.078,1.029,0.213,29.15,-13.09,-21.49,null,null
9,0.95,0.035,1.001,0.105,-14.5,24.38,9.67,null,null
10,0.95,0.055,0.952,0.34,-19.53,9.4,3.91,null,null
11,0.95,0.021,0.983,0.249,32.29,-25.79,-13.82,null,null
12,0.95,0.008,0.993,0.135,-9.31,21.45,-3.81,null,null
13,0.95,0.024,0.936,0.26,-33.63,14.89,-4.94,null,null
14,0.95,0.023,0.944,0.271,-6.29,-0.61,-2.59,null,null
15,0.95,0.02,0.984,0.132,-16.14,0.82,1.01,null,null
16,0.95,0.017,0.978,0.195,-0.95,-9.13,5.55,null,null
17,0.95,0.012,1.041,0.073,36.56,-38.21,-10.25,null,null
18,0.95,0.015,1.001,-0.003,9.77,0.92,-0.31,null,null
19,0.95,0.037,1.014,-0.001,-12.88,10.74,3.54,null,null
20,0.95,0.014,0.985,0.16,-35.37,12.91,2.35,null,null
