trial_index,gesture,trial_num,start_timestamp,end_timestamp,num_frames
0,pull,0,2026-07-29T17:38:18.263195+00:00,2026-07-29T17:39:15.755514+00:00,20
1,pull,1,2026-07-29T17:39:17.755761+00:00,2026-07-29T17:39:21.555370+00:00,20
2,pull,2,2026-07-29T17:39:22.789865+00:00,2026-07-29T17:39:26.444402+00:00,20
3,pull,3,2026-07-29T17:39:27.462797+00:00,2026-07-29T17:39:31.185234+00:00,20
4,pull,4,2026-07-29T17:39:31.878379+00:00,2026-07-29T17:39:35.805770+00:00,20
5,pull,5,2026-07-29T17:39:36.796925+00:00,2026-07-29T17:39:40.634725+00:00,20
6,pull,6,2026-07-29T17:39:41.917911+00:00,2026-07-29T17:40:10.124787+00:00,20
7,pull,7,2026-07-29T17:40:11.115930+00:00,2026-07-29T17:40:14.374260+00:00,20
8,pull,8,2026-07-29T17:40:15.298001+00:00,2026-07-29T17:40:18.645619+00:00,20
9,pull,9,2026-07-29T17:40:19.566262+00:00,2026-07-29T17:40:22.734528+00:00,20
10,pull,10,2026-07-29T17:40:23.664383+00:00,2026-07-29T17:40:26.934209+00:00,20
11,pull,11,2026-07-29T17:40:27.869581+00:00,2026-07-29T17:40:31.005423+00:00,20
12,pull,12,2026-07-29T17:40:31.908400+00:00,2026-07-29T17:40:35.025096+00:00,20
13,pull,13,2026-07-29T17:40:35.970267+00:00,2026-07-29T17:40:39.534808+00:00,20
14,pull,14,2026-07-29T17:40:40.668367+00:00,2026-07-29T17:40:44.104142+00:00,20
15,push,0,2026-07-29T17:40:45.327836+00:00,2026-07-29T17:40:51.844425+00:00,20
16,push,1,2026-07-29T17:40:52.868702+00:00,2026-07-29T17:40:56.495086+00:00,20
17,push,2,2026-07-29T17:40:57.544586+00:00,2026-07-29T17:41:00.785780+00:00,20
18,push,3,2026-07-29T17:41:01.839448+00:00,2026-07-29T17:41:05.066787+00:00,20
19,push,4,2026-07-29T17:41:06.625539+00:00,2026-07-29T17:41:09.705623+00:00,20
20,push,5,2026-07-29T17:41:10.512805+00:00,2026-07-29T17:41:14.246221+00:00,20
21,push,6,2026-07-29T17:41:14.937814+00:00,2026-07-29T17:41:18.095264+00:00,20
22,push,7,2026-07-29T17:41:18.736183+00:00,2026-07-29T17:41:21.945568+00:00,20
23,push,8,2026-07-29T17:41:22.960465+00:00,2026-07-29T17:41:26.255784+00:00,20
24,push,9,2026-07-29T17:41:26.946849+00:00,2026-07-29T17:41:30.304552+00:00,20
25,push,10,2026-07-29T17:41:31.167202+00:00,2026-07-29T17:41:34.339304+00:00,20
26,push,11,2026-07-29T17:41:35.347631+00:00,2026-07-29T17:41:38.545694+00:00,20
27,push,12,2026-07-29T17:41:39.544616+00:00,2026-07-29T17:41:42.504138+00:00,20
28,push,13,2026-07-29T17:41:43.357054+00:00,2026-07-29T17:41:46.504329+00:00,20
29,push,14,2026-07-29T17:41:47.358467+00:00,2026-07-29T17:41:50.566307+00:00,20
30,clockwise,0,2026-07-29T17:41:51.386675+00:00,2026-07-29T17:42:03.345678+00:00,20
31,clockwise,1,2026-07-29T17:42:17.836296+00:00,2026-07-29T17:42:21.596090+00:00,20
32,clockwise,2,2026-07-29T17:42:22.799785+00:00,2026-07-29T17:42:26.715754+00:00,20
33,clockwise,3,2026-07-29T17:42:28.129637+00:00,2026-07-29T17:42:31.079419+00:00,20
34,clockwise,5,2026-07-29T17:42:44.569660+00:00,2026-07-29T17:42:48.659122+00:00,20
35,clockwise,6,2026-07-29T17:42:50.307911+00:00,2026-07-29T17:42:53.386881+00:00,20
36,clockwise,7,2026-07-29T17:42:54.610683+00:00,2026-07-29T17:42:58.027348+00:00,20
37,clockwise,8,2026-07-29T17:42:59.119557+00:00,2026-07-29T17:43:02.230532+00:00,20
