frame_index,timestamp,gesture,trial,elapsed,collector
0,2026-07-29T21:35:40.106509+00:00,pull,0,0.016,student03
1,2026-07-29T21:35:40.216726+00:00,pull,0,0.125,student03
2,2026-07-29T21:35:40.326944+00:00,pull,0,0.235,student03
3,2026-07-29T21:35:40.436346+00:00,pull,0,0.344,student03
4,2026-07-29T21:35:40.550980+00:00,pull,0,0.454,student03
5,2026-07-29T21:35:40.652550+00:00,pull,0,0.547,student03
6,2026-07-29T21:35:40.750904+00:00,pull,0,0.657,student03
7,2026-07-29T21:35:40.857103+00:00,pull,0,0.75,student03
8,2026-07-29T21:35:40.955065+00:00,pull,0,0.86,student03
9,2026-07-29T21:35:41.066645+00:00,pull,0,0.969,student03
10,2026-07-29T21:35:41.170710+00:00,pull,0,1.079,student03
11,2026-07-29T21:35:41.271119+00:00,pull,0,1.172,student03
12,2026-07-29T21:35:41.370940+00:00,pull,0,1.266,student03
13,2026-07-29T21:35:41.461792+00:00,pull,0,1.36,student03
14,2026-07-29T21:35:41.561672+00:00,pull,0,1.469,student03
15,2026-07-29T21:35:41.665037+00:00,pull,0,1.563,student03
16,2026-07-29T21:35:41.764737+00:00,pull,0,1.672,student03
17,2026-07-29T21:35:41.877313+00:00,pull,0,1.782,student03
18,2026-07-29T21:35:41.987107+00:00,pull,0,1.891,student03
0,2026-07-29T21:35:54.502972+00:00,push,0,0.0,student03
1,2026-07-29T21:35:54.602389+00:00,push,0,0.093,student03
2,2026-07-29T21:35:54.705470+00:00,push,0,0.203,student03
3,2026-07-29T21:35:54.817368+00:00,push,0,0.312,student03
4,2026-07-29T21:35:54.911562+00:00,push,0,0.406,student03
5,2026-07-29T21:35:55.010702+00:00,push,0,0.5,student03
6,2026-07-29T21:35:55.101888+00:00,push,0,0.593,student03
7,2026-07-29T21:35:55.201875+00:00,push,0,0.703,student03
8,2026-07-29T21:35:55.312557+00:00,push,0,0.812,student03
9,2026-07-29T21:35:55.414822+00:00,push,0,0.906,student03
10,2026-07-29T21:35:55.511117+00:00,push,0,1.0,student03
11,2026-07-29T21:35:55.602012+00:00,push,0,1.093,student03
12,2026-07-29T21:35:55.705363+00:00,push,0,1.203,student03
13,2026-07-29T21:35:55.816685+00:00,push,0,1.312,student03
14,2026-07-29T21:35:55.914521+00:00,push,0,1.406,student03
15,2026-07-29T21:35:56.010967+00:00,push,0,1.5,student03
16,2026-07-29T21:35:56.102037+00:00,push,0,1.593,student03
17,2026-07-29T21:35:56.208141+00:00,push,0,1.703,student03
18,2026-07-29T21:35:56.305713+00:00,push,0,1.797,student03
19,2026-07-29T21:35:56.401892+00:00,push,0,1.89,student03
0,2026-07-29T21:35:59.953263+00:00,pull,1,0.0,student03
1,2026-07-29T21:36:00.067299+00:00,pull,1,0.109,student03
2,2026-07-29T21:36:00.161286+00:00,pull,1,0.203,student03
3,2026-07-29T21:36:00.260656+00:00,pull,1,0.297,student03
4,2026-07-29T21:36:00.355792+00:00,pull,1,0.39,student03
5,2026-07-29T21:36:00.451451+00:00,pull,1,0.5,student03
6,2026-07-29T21:36:00.560726+00:00,pull,1,0.609,student03
7,2026-07-29T21:36:00.670741+00:00,pull,1,0.719,student03
8,2026-07-29T21:36:00.782620+00:00,pull,1,0.828,student03
9,2026-07-29T21:36:00.881660+00:00,pull,1,0.922,student03
10,2026-07-29T21:36:00.987870+00:00,pull,1,1.031,student03
11,2026-07-29T21:36:01.098168+00:00,pull,1,1.14,student03
12,2026-07-29T21:36:01.207439+00:00,pull,1,1.25,student03
13,2026-07-29T21:36:01.307142+00:00,pull,1,1.344,student03
14,2026-07-29T21:36:01.405944+00:00,pull,1,1.453,student03
15,2026-07-29T21:36:01.517607+00:00,pull,1,1.562,student03
16,2026-07-29T21:36:01.627581+00:00,pull,1,1.672,student03
17,2026-07-29T21:36:01.737264+00:00,pull,1,1.781,student03
18,2026-07-29T21:36:01.834974+00:00,pull,1,1.875,student03
19,2026-07-29T21:36:01.936132+00:00,pull,1,1.984,student03
0,2026-07-29T21:36:04.974989+00:00,push,1,0.0,student03
1,2026-07-29T21:36:05.075424+00:00,push,1,0.094,student03
2,2026-07-29T21:36:05.172736+00:00,push,1,0.204,student03
3,2026-07-29T21:36:05.271801+00:00,push,1,0.297,student03
4,2026-07-29T21:36:05.364921+00:00,push,1,0.391,student03
5,2026-07-29T21:36:05.460396+00:00,push,1,0.485,student03
6,2026-07-29T21:36:05.561790+00:00,push,1,0.594,student03
7,2026-07-29T21:36:05.672082+00:00,push,1,0.704,student03
8,2026-07-29T21:36:05.780871+00:00,push,1,0.813,student03
9,2026-07-29T21:36:05.888491+00:00,push,1,0.922,student03
10,2026-07-29T21:36:05.997980+00:00,push,1,1.032,student03
11,2026-07-29T21:36:06.106959+00:00,push,1,1.125,student03
12,2026-07-29T21:36:06.201436+00:00,push,1,1.235,student03
13,2026-07-29T21:36:06.308594+00:00,push,1,1.329,student03
14,2026-07-29T21:36:06.402267+00:00,push,1,1.422,student03
15,2026-07-29T21:36:06.495210+00:00,push,1,1.516,student03
16,2026-07-29T21:36:06.594643+00:00,push,1,1.625,student03
17,2026-07-29T21:36:06.692122+00:00,push,1,1.719,student03
18,2026-07-29T21:36:06.790976+00:00,push,1,1.813,student03
19,2026-07-29T21:36:06.882011+00:00,push,1,1.907,student03
0,2026-07-29T21:36:09.136154+00:00,pull,2,0.0,student03
1,2026-07-29T21:36:09.232073+00:00,pull,2,0.093,student03
2,2026-07-29T21:36:09.322877+00:00,pull,2,0.187,student03
3,2026-07-29T21:36:09.421392+00:00,pull,2,0.297,student03
4,2026-07-29T21:36:09.524114+00:00,pull,2,0.39,student03
5,2026-07-29T21:36:09.621262+00:00,pull,2,0.484,student03
6,2026-07-29T21:36:09.712030+00:00,pull,2,0.578,student03
7,2026-07-29T21:36:09.812641+00:00,pull,2,0.687,student03
8,2026-07-29T21:36:09.922279+00:00,pull,2,0.797,student03
9,2026-07-29T21:36:10.031370+00:00,pull,2,0.906,student03
10,2026-07-29T21:36:10.141379+00:00,pull,2,1.015,student03
11,2026-07-29T21:36:10.241182+00:00,pull,2,1.109,student03
12,2026-07-29T21:36:10.348039+00:00,pull,2,1.218,student03
13,2026-07-29T21:36:10.457134+00:00,pull,2,1.328,student03
14,2026-07-29T21:36:10.567064+00:00,pull,2,1.437,student03
15,2026-07-29T21:36:10.661966+00:00,pull,2,1.531,student03
16,2026-07-29T21:36:10.767877+00:00,pull,2,1.64,student03
17,2026-07-29T21:36:10.865297+00:00,pull,2,1.734,student03
18,2026-07-29T21:36:10.965450+00:00,pull,2,1.828,student03
19,2026-07-29T21:36:11.063177+00:00,pull,2,1.937,student03
0,2026-07-29T21:36:13.520864+00:00,push,2,0.0,student03
1,2026-07-29T21:36:13.627758+00:00,push,2,0.11,student03
2,2026-07-29T21:36:13.738350+00:00,push,2,0.219,student03
3,2026-07-29T21:36:13.847500+00:00,push,2,0.328,student03
4,2026-07-29T21:36:13.957135+00:00,push,2,0.438,student03
5,2026-07-29T21:36:14.053478+00:00,push,2,0.532,student03
6,2026-07-29T21:36:14.156371+00:00,push,2,0.641,student03
7,2026-07-29T21:36:14.269593+00:00,push,2,0.75,student03
8,2026-07-29T21:36:14.377730+00:00,push,2,0.86,student03
9,2026-07-29T21:36:14.486620+00:00,push,2,0.969,student03
10,2026-07-29T21:36:14.585005+00:00,push,2,1.063,student03
11,2026-07-29T21:36:14.683569+00:00,push,2,1.157,student03
12,2026-07-29T21:36:14.780530+00:00,push,2,1.266,student03
13,2026-07-29T21:36:14.881781+00:00,push,2,1.36,student03
14,2026-07-29T21:36:14.983122+00:00,push,2,1.469,student03
15,2026-07-29T21:36:15.085586+00:00,push,2,1.563,student03
16,2026-07-29T21:36:15.183480+00:00,push,2,1.657,student03
17,2026-07-29T21:36:15.282422+00:00,push,2,1.766,student03
18,2026-07-29T21:36:15.381540+00:00,push,2,1.86,student03
19,2026-07-29T21:36:15.482565+00:00,push,2,1.969,student03
0,2026-07-29T21:36:18.130806+00:00,pull,3,0.0,student03
1,2026-07-29T21:36:18.237407+00:00,pull,3,0.109,student03
2,2026-07-29T21:36:18.347200+00:00,pull,3,0.218,student03
3,2026-07-29T21:36:18.458399+00:00,pull,3,0.328,student03
4,2026-07-29T21:36:18.553259+00:00,pull,3,0.422,student03
5,2026-07-29T21:36:18.653395+00:00,pull,3,0.515,student03
6,2026-07-29T21:36:18.751786+00:00,pull,3,0.625,student03
7,2026-07-29T21:36:18.861445+00:00,pull,3,0.734,student03
8,2026-07-29T21:36:18.971762+00:00,pull,3,0.843,student03
9,2026-07-29T21:36:19.077713+00:00,pull,3,0.953,student03
10,2026-07-29T21:36:19.191290+00:00,pull,3,1.062,student03
11,2026-07-29T21:36:19.295014+00:00,pull,3,1.172,student03
12,2026-07-29T21:36:19.407539+00:00,pull,3,1.281,student03
13,2026-07-29T21:36:19.517309+00:00,pull,3,1.39,student03
14,2026-07-29T21:36:19.627754+00:00,pull,3,1.5,student03
15,2026-07-29T21:36:19.726265+00:00,pull,3,1.593,student03
16,2026-07-29T21:36:19.823467+00:00,pull,3,1.687,student03
17,2026-07-29T21:36:19.921561+00:00,pull,3,1.797,student03
18,2026-07-29T21:36:20.031850+00:00,pull,3,1.906,student03
0,2026-07-29T21:36:22.553572+00:00,push,3,0.0,student03
1,2026-07-29T21:36:22.654063+00:00,push,3,0.109,student03
2,2026-07-29T21:36:22.767991+00:00,push,3,0.218,student03
3,2026-07-29T21:36:22.877493+00:00,push,3,0.328,student03
4,2026-07-29T21:36:22.988364+00:00,push,3,0.437,student03
5,2026-07-29T21:36:23.098675+00:00,push,3,0.546,student03
6,2026-07-29T21:36:23.192497+00:00,push,3,0.64,student03
7,2026-07-29T21:36:23.298462+00:00,push,3,0.75,student03
8,2026-07-29T21:36:23.406637+00:00,push,3,0.859,student03
9,2026-07-29T21:36:23.518463+00:00,push,3,0.968,student03
10,2026-07-29T21:36:23.628778+00:00,push,3,1.078,student03
11,2026-07-29T21:36:23.736632+00:00,push,3,1.187,student03
12,2026-07-29T21:36:23.835464+00:00,push,3,1.281,student03
13,2026-07-29T21:36:23.934406+00:00,push,3,1.375,student03
14,2026-07-29T21:36:24.033061+00:00,push,3,1.484,student03
15,2026-07-29T21:36:24.141356+00:00,push,3,1.593,student03
16,2026-07-29T21:36:24.248716+00:00,push,3,1.703,student03
17,2026-07-29T21:36:24.358113+00:00,push,3,1.812,student03
18,2026-07-29T21:36:24.468206+00:00,push,3,1.921,student03
0,2026-07-29T21:36:27.574304+00:00,pull,4,0.0,student03
1,2026-07-29T21:36:27.672291+00:00,pull,4,0.11,student03
2,2026-07-29T21:36:27.781901+00:00,pull,4,0.219,student03
3,2026-07-29T21:36:27.892677+00:00,pull,4,0.328,student03
4,2026-07-29T21:36:28.002915+00:00,pull,4,0.438,student03
5,2026-07-29T21:36:28.108867+00:00,pull,4,0.547,student03
6,2026-07-29T21:36:28.218428+00:00,pull,4,0.656,student03
7,2026-07-29T21:36:28.328404+00:00,pull,4,0.766,student03
8,2026-07-29T21:36:28.437267+00:00,pull,4,0.875,student03
9,2026-07-29T21:36:28.548477+00:00,pull,4,0.985,student03
10,2026-07-29T21:36:28.658559+00:00,pull,4,1.094,student03
11,2026-07-29T21:36:28.756287+00:00,pull,4,1.188,student03
12,2026-07-29T21:36:28.853285+00:00,pull,4,1.281,student03
13,2026-07-29T21:36:28.952689+00:00,pull,4,1.391,student03
14,2026-07-29T21:36:29.058473+00:00,pull,4,1.485,student03
15,2026-07-29T21:36:29.147269+00:00,pull,4,1.578,student03
16,2026-07-29T21:36:29.241956+00:00,pull,4,1.672,student03
17,2026-07-29T21:36:29.342901+00:00,pull,4,1.781,student03
18,2026-07-29T21:36:29.443054+00:00,pull,4,1.875,student03
19,2026-07-29T21:36:29.552239+00:00,pull,4,1.985,student03
0,2026-07-29T21:36:32.008048+00:00,push,4,0.0,student03
1,2026-07-29T21:36:32.103267+00:00,push,4,0.093,student03
2,2026-07-29T21:36:32.206447+00:00,push,4,0.203,student03
3,2026-07-29T21:36:32.303351+00:00,push,4,0.297,student03
4,2026-07-29T21:36:32.403700+00:00,push,4,0.39,student03
5,2026-07-29T21:36:32.503130+00:00,push,4,0.5,student03
6,2026-07-29T21:36:32.608627+00:00,push,4,0.609,student03
7,2026-07-29T21:36:32.719719+00:00,push,4,0.718,student03
8,2026-07-29T21:36:32.822847+00:00,push,4,0.812,student03
9,2026-07-29T21:36:32.923103+00:00,push,4,0.922,student03
10,2026-07-29T21:36:33.024178+00:00,push,4,1.015,student03
11,2026-07-29T21:36:33.122672+00:00,push,4,1.109,student03
12,2026-07-29T21:36:33.216559+00:00,push,4,1.218,student03
13,2026-07-29T21:36:33.331912+00:00,push,4,1.328,student03
14,2026-07-29T21:36:33.427320+00:00,push,4,1.422,student03
15,2026-07-29T21:36:33.527410+00:00,push,4,1.515,student03
16,2026-07-29T21:36:33.622019+00:00,push,4,1.609,student03
17,2026-07-29T21:36:33.712584+00:00,push,4,1.703,student03
18,2026-07-29T21:36:33.813671+00:00,push,4,1.812,student03
19,2026-07-29T21:36:33.922254+00:00,push,4,1.922,student03
0,2026-07-29T21:36:36.307008+00:00,pull,5,0.0,student03
1,2026-07-29T21:36:36.407320+00:00,pull,5,0.109,student03
2,2026-07-29T21:36:36.519541+00:00,pull,5,0.218,student03
3,2026-07-29T21:36:36.628036+00:00,pull,5,0.328,student03
4,2026-07-29T21:36:36.738823+00:00,pull,5,0.437,student03
5,2026-07-29T21:36:36.847943+00:00,pull,5,0.546,student03
6,2026-07-29T21:36:36.942430+00:00,pull,5,0.64,student03
7,2026-07-29T21:36:37.049161+00:00,pull,5,0.75,student03
8,2026-07-29T21:36:37.158969+00:00,pull,5,0.859,student03
9,2026-07-29T21:36:37.256025+00:00,pull,5,0.953,student03
10,2026-07-29T21:36:37.353517+00:00,pull,5,1.046,student03
11,2026-07-29T21:36:37.446835+00:00,pull,5,1.14,student03
12,2026-07-29T21:36:37.537710+00:00,pull,5,1.234,student03
13,2026-07-29T21:36:37.632643+00:00,pull,5,1.328,student03
14,2026-07-29T21:36:37.738497+00:00,pull,5,1.437,student03
15,2026-07-29T21:36:37.836204+00:00,pull,5,1.531,student03
16,2026-07-29T21:36:37.933591+00:00,pull,5,1.625,student03
17,2026-07-29T21:36:38.024637+00:00,pull,5,1.718,student03
18,2026-07-29T21:36:38.122392+00:00,pull,5,1.812,student03
19,2026-07-29T21:36:38.222361+00:00,pull,5,1.921,student03
0,2026-07-29T21:36:41.212202+00:00,push,5,0.0,student03
1,2026-07-29T21:36:41.313433+00:00,push,5,0.109,student03
2,2026-07-29T21:36:41.419108+00:00,push,5,0.203,student03
3,2026-07-29T21:36:41.513456+00:00,push,5,0.312,student03
4,2026-07-29T21:36:41.628491+00:00,push,5,0.422,student03
5,2026-07-29T21:36:41.739031+00:00,push,5,0.531,student03
6,2026-07-29T21:36:41.848165+00:00,push,5,0.64,student03
7,2026-07-29T21:36:41.943145+00:00,push,5,0.734,student03
8,2026-07-29T21:36:42.043089+00:00,push,5,0.828,student03
9,2026-07-29T21:36:42.133359+00:00,push,5,0.922,student03
10,2026-07-29T21:36:42.233684+00:00,push,5,1.031,student03
11,2026-07-29T21:36:42.348605+00:00,push,5,1.14,student03
12,2026-07-29T21:36:42.456853+00:00,push,5,1.25,student03
13,2026-07-29T21:36:42.568088+00:00,push,5,1.359,student03
14,2026-07-29T21:36:42.666477+00:00,push,5,1.453,student03
15,2026-07-29T21:36:42.766005+00:00,push,5,1.562,student03
16,2026-07-29T21:36:42.878876+00:00,push,5,1.672,student03
17,2026-07-29T21:36:42.977234+00:00,push,5,1.765,student03
18,2026-07-29T21:36:43.076415+00:00,push,5,1.875,student03
19,2026-07-29T21:36:43.189874+00:00,push,5,1.984,student03
0,2026-07-29T21:36:45.812235+00:00,pull,6,0.0,student03
1,2026-07-29T21:36:45.919215+00:00,pull,6,0.094,student03
2,2026-07-29T21:36:46.013370+00:00,pull,6,0.188,student03
3,2026-07-29T21:36:46.113286+00:00,pull,6,0.297,student03
4,2026-07-29T21:36:46.219242+00:00,pull,6,0.406,student03
5,2026-07-29T21:36:46.332449+00:00,pull,6,0.516,student03
6,2026-07-29T21:36:46.440119+00:00,pull,6,0.625,student03
7,2026-07-29T21:36:46.536286+00:00,pull,6,0.719,student03
8,2026-07-29T21:36:46.633071+00:00,pull,6,0.813,student03
