frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.984,-0.097,0.008,-2.38,-0.73,-0.09,null,null
1,0.95,0.99,-0.104,-0.005,0.4,-1.4,1.34,null,null
2,0.95,1.007,-0.221,-0.02,-4.46,2.78,-5.86,null,null
3,0.95,1.092,-0.583,-0.191,-20.17,22.34,-80.48,null,null
4,0.95,0.776,-0.077,0.115,-53.16,55.15,-162.11,null,null
5,0.95,0.525,0.541,0.25,-28.23,64.39,-193.03,null,null
6,0.95,0.431,0.771,0.308,30.3,60.43,-172.64,null,null
7,0.95,0.339,0.791,0.351,24.05,37.14,-144.57,null,null
8,0.95,0.049,1.003,0.366,-39.22,10.53,-113.01,null,null
9,0.95,0.021,1.136,0.418,-32.5,0.55,-63.94,null,null
10,0.95,0.057,0.967,0.514,-20.91,2.96,-29.76,null,null
11,0.95,0.011,0.999,0.428,12.91,3.27,-30.3,null,null
12,0.95,0.001,0.944,0.443,1.46,-2.5,-3.48,null,null
13,0.95,-0.003,0.913,0.414,0.0,-0.92,1.1,null,null
14,0.95,0.016,0.877,0.418,-1.89,-0.09,1.4,null,null
15,0.95,0.019,0.891,0.437,-1.16,2.11,0.37,null,null
16,0.95,0.011,0.899,0.435,-0.82,1.28,1.98,null,null
17,0.95,0.02,0.879,0.431,-1.19,1.46,1.04,null,null
18,0.95,0.014,0.891,0.428,0.49,0.15,0.12,null,null
19,0.95,0.017,0.892,0.431,0.73,0.98,1.34,null,null
0,0.95,0.96,-0.225,0.103,2.78,-3.85,5.37,null,null
1,0.95,0.965,-0.269,0.086,1.89,-1.92,3.69,null,null
2,0.95,1.014,-0.519,-0.004,-0.06,7.05,-18.52,null,null
3,0.95,1.025,-0.708,-0.078,-32.96,25.24,-85.85,null,null
4,0.95,0.592,-0.116,0.28,-45.69,83.19,-214.03,null,null
5,0.95,0.438,0.346,0.434,-0.46,58.84,-228.19,null,null
6,0.95,0.116,0.782,0.499,5.25,28.26,-195.53,null,null
7,0.95,-0.052,0.859,0.389,-3.42,14.37,-171.88,null,null
8,0.95,-0.29,1.314,0.323,11.17,10.74,-145.66,null,null
9,0.95,-0.209,1.358,0.453,-34.79,-10.5,-4.67,null,null
10,0.95,-0.125,1.009,0.439,2.72,-7.45,17.46,null,null
11,0.95,-0.052,0.793,0.359,-1.4,-2.32,14.74,null,null
12,0.95,-0.052,0.833,0.417,-10.28,5.25,3.02,null,null
13,0.95,-0.063,0.906,0.45,1.92,5.89,-6.04,null,null
14,0.95,-0.067,0.911,0.454,-2.08,0.03,2.38,null,null
15,0.95,-0.062,0.872,0.433,2.75,-0.18,3.6,null,null
16,0.95,-0.05,0.868,0.413,0.37,1.65,0.67,null,null
17,0.95,-0.055,0.866,0.435,-2.44,2.44,-1.89,null,null
18,0.95,-0.066,0.899,0.453,-2.69,0.52,-2.32,null,null
19,0.95,-0.061,0.859,0.428,-1.22,1.31,-0.34,null,null
0,0.95,0.966,-0.244,0.151,-0.12,1.37,0.06,null,null
1,0.95,0.964,-0.291,0.136,-2.69,-0.98,-0.18,null,null
2,0.95,1.011,-0.56,0.026,-24.48,5.28,-33.36,null,null
3,0.95,0.923,-0.438,0.132,-25.76,36.13,-116.25,null,null
4,0.95,0.808,-0.037,0.265,-41.66,36.13,-161.78,null,null
5,0.95,0.568,0.306,0.337,8.45,48.55,-196.17,null,null
6,0.95,0.216,0.754,0.422,-10.41,12.12,-175.18,null,null
7,0.95,0.068,0.922,0.403,10.04,5.95,-147.4,null,null
8,0.95,-0.067,0.987,0.394,-7.72,8.82,-130.25,null,null
9,0.95,-0.156,1.292,0.49,-27.8,2.23,-54.78,null,null
10,0.95,-0.103,1.038,0.447,20.57,-6.96,-0.21,null,null
11,0.95,-0.057,0.873,0.305,0.15,-11.32,8.45,null,null
12,0.95,-0.044,0.872,0.347,9.77,2.69,-4.61,null,null
13,0.95,-0.082,0.974,0.293,10.99,1.53,-6.68,null,null
14,0.95,-0.089,0.966,0.323,-9.61,-3.2,2.29,null,null
15,0.95,-0.069,0.917,0.328,-3.42,-1.5,2.99,null,null
16,0.95,-0.068,0.919,0.313,8.97,6.07,-2.47,null,null
17,0.95,-0.079,0.937,0.338,2.62,2.26,-5.4,null,null
18,0.95,-0.089,0.951,0.335,3.97,-1.04,-4.73,null,null
0,0.95,0.981,-0.206,0.075,-0.4,-2.17,0.34,null,null
1,0.95,0.978,-0.208,0.079,-0.89,-1.5,0.95,null,null
2,0.95,0.972,-0.223,0.048,-0.15,0.67,-0.79,null,null
3,0.95,0.984,-0.248,0.068,-5.28,5.55,-4.39,null,null
4,0.95,1.04,-0.472,-0.005,-34.85,-3.51,-35.07,null,null
5,0.95,0.924,-0.396,-0.058,-36.13,29.24,-119.85,null,null
6,0.95,0.698,0.071,0.167,-10.44,69.98,-183.39,null,null
7,0.95,0.482,0.51,0.333,14.71,46.91,-201.73,null,null
8,0.95,0.234,0.889,0.326,8.33,16.51,-170.9,null,null
9,0.95,0.102,0.922,0.266,-8.45,-3.42,-135.69,null,null
10,0.95,-0.098,0.912,0.335,-39.77,8.0,-129.43,null,null
11,0.95,-0.22,1.422,0.492,-20.51,8.09,-51.64,null,null
12,0.95,-0.15,1.112,0.561,-11.54,-9.13,3.2,null,null
13,0.95,-0.084,0.811,0.398,-3.39,-13.67,22.64,null,null
14,0.95,-0.074,0.838,0.399,1.43,2.9,-2.81,null,null
15,0.95,-0.084,0.897,0.441,1.1,5.16,-5.01,null,null
16,0.95,-0.08,0.914,0.47,1.98,2.44,1.1,null,null
17,0.95,-0.063,0.876,0.445,1.37,-0.79,1.59,null,null
18,0.95,-0.073,0.867,0.435,2.9,-0.92,0.27,null,null
19,0.95,-0.074,0.881,0.443,0.43,0.73,-0.4,null,null
0,0.95,0.975,-0.215,0.052,0.61,-4.21,2.87,null,null
1,0.95,0.972,-0.212,0.037,0.89,-2.11,-2.2,null,null
2,0.95,0.985,-0.198,0.039,-0.34,1.59,-0.7,null,null
3,0.95,0.991,-0.248,0.044,-5.04,2.53,-2.01,null,null
4,0.95,1.01,-0.377,0.006,-16.33,4.36,-22.16,null,null
5,0.95,1.01,-0.47,-0.07,-53.65,15.53,-114.93,null,null
6,0.95,0.785,0.009,0.141,-29.33,51.03,-155.1,null,null
7,0.95,0.7,0.314,0.192,26.28,55.54,-170.84,null,null
8,0.95,0.407,0.611,0.226,23.62,42.66,-176.73,null,null
9,0.95,0.13,0.773,0.377,65.31,36.5,-209.23,null,null
10,0.95,-0.1,0.879,0.251,-55.45,-29.97,-143.83,null,null
11,0.95,-0.338,1.148,0.395,-79.96,-16.79,-125.13,null,null
12,0.95,-0.377,1.341,0.383,-23.41,-4.15,-26.55,null,null
13,0.95,-0.288,1.095,0.425,-3.02,-8.76,17.15,null,null
14,0.95,-0.122,0.746,0.391,-16.39,-5.86,31.59,null,null
15,0.95,-0.109,0.803,0.433,-1.31,5.46,2.26,null,null
16,0.95,-0.172,0.908,0.459,20.2,9.86,-18.43,null,null
17,0.95,-0.165,0.895,0.432,3.05,-0.92,3.33,null,null
18,0.95,-0.147,0.864,0.417,-1.95,-0.82,4.03,null,null
19,0.95,-0.152,0.877,0.426,-1.46,1.74,2.81,null,null
0,0.95,0.96,-0.288,0.058,0.18,0.12,-0.27,null,null
1,0.95,0.954,-0.294,0.047,-0.24,1.04,-3.3,null,null
2,0.95,0.952,-0.353,0.011,-9.49,-4.7,-3.02,null,null
3,0.95,0.986,-0.673,-0.126,-44.16,11.69,-47.09,null,null
4,0.95,0.888,-0.339,0.096,-43.98,72.39,-186.07,null,null
