frame_index,timestamp,gesture,trial,elapsed
0,2026-07-28T21:55:28.707359+00:00,pull,1,6e-05
1,2026-07-28T21:55:28.807890+00:00,pull,1,0.100604
2,2026-07-28T21:55:28.908402+00:00,pull,1,0.201112
3,2026-07-28T21:55:29.008926+00:00,pull,1,0.301633
4,2026-07-28T21:55:29.109689+00:00,pull,1,0.402419
5,2026-07-28T21:55:29.210372+00:00,pull,1,0.503087
6,2026-07-28T21:55:29.311541+00:00,pull,1,0.604277
7,2026-07-28T21:55:29.412096+00:00,pull,1,0.704818
8,2026-07-28T21:55:29.512508+00:00,pull,1,0.805225
9,2026-07-28T21:55:29.613250+00:00,pull,1,0.905958
0,2026-07-28T21:55:46.272644+00:00,pull,3,6.3e-05
1,2026-07-28T21:55:46.373159+00:00,pull,3,0.100593
2,2026-07-28T21:55:46.473579+00:00,pull,3,0.200998
3,2026-07-28T21:55:46.574315+00:00,pull,3,0.301735
4,2026-07-28T21:55:46.674734+00:00,pull,3,0.402157
5,2026-07-28T21:55:46.775417+00:00,pull,3,0.502821
6,2026-07-28T21:55:46.875858+00:00,pull,3,0.603281
7,2026-07-28T21:55:46.976039+00:00,pull,3,0.703458
8,2026-07-28T21:55:47.076632+00:00,pull,3,0.804053
9,2026-07-28T21:55:47.177136+00:00,pull,3,0.904561
0,2026-07-28T21:55:51.488745+00:00,pull,4,0.000104
1,2026-07-28T21:55:51.589262+00:00,pull,4,0.100594
2,2026-07-28T21:55:51.689509+00:00,pull,4,0.200828
3,2026-07-28T21:55:51.789865+00:00,pull,4,0.301184
4,2026-07-28T21:55:51.890433+00:00,pull,4,0.40175
5,2026-07-28T21:55:51.990939+00:00,pull,4,0.502249
6,2026-07-28T21:55:52.091510+00:00,pull,4,0.602859
7,2026-07-28T21:55:52.192212+00:00,pull,4,0.703537
8,2026-07-28T21:55:52.293058+00:00,pull,4,0.80439
9,2026-07-28T21:55:52.393339+00:00,pull,4,0.904663
0,2026-07-28T21:55:58.263554+00:00,push,0,4.1e-05
1,2026-07-28T21:55:58.364031+00:00,push,0,0.100523
2,2026-07-28T21:55:58.464560+00:00,push,0,0.20105
3,2026-07-28T21:55:58.565014+00:00,push,0,0.30152
4,2026-07-28T21:55:58.665441+00:00,push,0,0.401948
5,2026-07-28T21:55:58.765899+00:00,push,0,0.502419
6,2026-07-28T21:55:58.866355+00:00,push,0,0.602846
7,2026-07-28T21:55:58.966886+00:00,push,0,0.703395
8,2026-07-28T21:55:59.067573+00:00,push,0,0.804088
9,2026-07-28T21:55:59.168108+00:00,push,0,0.904624
0,2026-07-28T21:56:03.853812+00:00,push,1,6.2e-05
1,2026-07-28T21:56:03.954061+00:00,push,1,0.100317
2,2026-07-28T21:56:04.054393+00:00,push,1,0.200647
3,2026-07-28T21:56:04.154847+00:00,push,1,0.301082
4,2026-07-28T21:56:04.255267+00:00,push,1,0.40152
5,2026-07-28T21:56:04.355749+00:00,push,1,0.502008
6,2026-07-28T21:56:04.456088+00:00,push,1,0.602337
7,2026-07-28T21:56:04.556732+00:00,push,1,0.702982
8,2026-07-28T21:56:04.657424+00:00,push,1,0.803662
9,2026-07-28T21:56:04.757893+00:00,push,1,0.90412
0,2026-07-28T21:56:09.041511+00:00,push,2,7.3e-05
1,2026-07-28T21:56:09.141806+00:00,push,2,0.100364
2,2026-07-28T21:56:09.242278+00:00,push,2,0.200837
3,2026-07-28T21:56:09.342483+00:00,push,2,0.301046
4,2026-07-28T21:56:09.442806+00:00,push,2,0.401368
5,2026-07-28T21:56:09.543358+00:00,push,2,0.501913
6,2026-07-28T21:56:09.643848+00:00,push,2,0.60241
