frame_index,timestamp,gesture,trial,elapsed,collector
0,2026-07-30T22:53:37.793246+00:00,t-arm,0,0.0,student03
1,2026-07-30T22:53:37.901896+00:00,t-arm,0,0.109,student03
2,2026-07-30T22:53:38.001786+00:00,t-arm,0,0.219,student03
3,2026-07-30T22:53:38.114307+00:00,t-arm,0,0.328,student03
4,2026-07-30T22:53:38.211643+00:00,t-arm,0,0.422,student03
5,2026-07-30T22:53:38.323849+00:00,t-arm,0,0.531,student03
6,2026-07-30T22:53:38.417992+00:00,t-arm,0,0.625,student03
7,2026-07-30T22:53:38.517913+00:00,t-arm,0,0.734,student03
8,2026-07-30T22:53:38.633099+00:00,t-arm,0,0.844,student03
9,2026-07-30T22:53:38.728061+00:00,t-arm,0,0.937,student03
10,2026-07-30T22:53:38.827808+00:00,t-arm,0,1.047,student03
11,2026-07-30T22:53:38.933142+00:00,t-arm,0,1.141,student03
12,2026-07-30T22:53:39.032582+00:00,t-arm,0,1.25,student03
13,2026-07-30T22:53:39.144275+00:00,t-arm,0,1.359,student03
14,2026-07-30T22:53:39.253418+00:00,t-arm,0,1.469,student03
15,2026-07-30T22:53:39.349726+00:00,t-arm,0,1.562,student03
16,2026-07-30T22:53:39.448347+00:00,t-arm,0,1.656,student03
17,2026-07-30T22:53:39.547956+00:00,t-arm,0,1.766,student03
18,2026-07-30T22:53:39.657184+00:00,t-arm,0,1.875,student03
19,2026-07-30T22:53:39.767808+00:00,t-arm,0,1.984,student03
0,2026-07-30T22:53:50.174868+00:00,t-arm,1,0.0,student03
1,2026-07-30T22:53:50.284584+00:00,t-arm,1,0.109,student03
2,2026-07-30T22:53:50.393029+00:00,t-arm,1,0.218,student03
3,2026-07-30T22:53:50.503720+00:00,t-arm,1,0.328,student03
4,2026-07-30T22:53:50.603119+00:00,t-arm,1,0.421,student03
5,2026-07-30T22:53:50.697842+00:00,t-arm,1,0.515,student03
6,2026-07-30T22:53:50.806949+00:00,t-arm,1,0.625,student03
7,2026-07-30T22:53:50.899229+00:00,t-arm,1,0.718,student03
8,2026-07-30T22:53:50.998782+00:00,t-arm,1,0.828,student03
9,2026-07-30T22:53:51.113906+00:00,t-arm,1,0.937,student03
10,2026-07-30T22:53:51.208599+00:00,t-arm,1,1.031,student03
11,2026-07-30T22:53:51.314011+00:00,t-arm,1,1.14,student03
12,2026-07-30T22:53:51.412310+00:00,t-arm,1,1.234,student03
13,2026-07-30T22:53:51.507975+00:00,t-arm,1,1.328,student03
14,2026-07-30T22:53:51.613543+00:00,t-arm,1,1.437,student03
15,2026-07-30T22:53:51.708301+00:00,t-arm,1,1.531,student03
16,2026-07-30T22:53:51.814710+00:00,t-arm,1,1.64,student03
17,2026-07-30T22:53:51.923996+00:00,t-arm,1,1.75,student03
18,2026-07-30T22:53:52.033548+00:00,t-arm,1,1.859,student03
19,2026-07-30T22:53:52.143130+00:00,t-arm,1,1.968,student03
0,2026-07-30T22:53:53.873480+00:00,t-arm,2,0.0,student03
1,2026-07-30T22:53:53.982896+00:00,t-arm,2,0.109,student03
2,2026-07-30T22:53:54.093515+00:00,t-arm,2,0.218,student03
3,2026-07-30T22:53:54.207678+00:00,t-arm,2,0.328,student03
