frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.951,-0.282,0.076,-1.22,0.95,-0.73,null,null
1,0.95,0.951,-0.288,0.08,-1.68,0.55,-1.22,null,null
2,0.95,0.964,-0.388,0.035,-13.25,6.01,-17.85,null,null
3,0.95,0.963,-0.405,0.013,-22.19,20.26,-51.61,null,null
4,0.95,0.961,-0.32,0.065,-35.07,37.35,-93.84,null,null
5,0.95,0.829,0.037,0.243,-36.65,58.84,-135.17,null,null
6,0.95,0.666,0.391,0.413,-3.48,50.75,-139.53,null,null
7,0.95,0.677,0.635,0.455,-16.42,31.8,-90.52,null,null
8,0.95,0.579,0.539,0.429,12.36,31.16,-106.94,null,null
9,0.95,0.266,0.722,0.486,10.5,28.29,-128.12,null,null
10,0.95,0.203,0.642,0.337,7.02,11.47,-113.93,null,null
11,0.95,-0.093,1.523,0.227,169.44,-4.21,-87.89,null,null
12,0.95,-0.0,1.105,0.458,1.86,5.34,-19.99,null,null
13,0.95,-0.013,0.993,0.343,-6.07,-5.89,-1.4,null,null
14,0.95,-0.02,0.888,0.386,-6.78,0.7,-0.61,null,null
15,0.95,-0.009,0.916,0.388,-10.9,2.2,1.92,null,null
16,0.95,0.003,0.899,0.404,-4.49,0.46,-1.46,null,null
17,0.95,-0.011,0.913,0.4,-2.08,-2.44,-0.03,null,null
18,0.95,-0.01,0.893,0.408,-1.68,-1.34,0.4,null,null
19,0.95,-0.006,0.901,0.398,-2.84,-1.5,0.09,null,null
0,0.95,0.929,-0.339,0.09,-2.47,0.03,-0.82,null,null
1,0.95,0.931,-0.4,0.076,-2.14,-0.58,-0.03,null,null
2,0.95,0.894,-0.879,-0.181,-18.92,4.58,-36.71,null,null
3,0.95,0.617,-0.42,0.014,-83.83,138.13,-165.2,null,null
4,0.95,0.626,-0.063,0.408,-23.83,171.24,-184.94,null,null
5,0.95,0.208,0.476,0.7,9.8,101.75,-201.94,null,null
6,0.95,-0.11,0.596,0.683,55.09,85.67,-222.88,null,null
7,0.95,-0.329,1.184,0.874,50.39,70.44,-186.44,null,null
8,0.95,-0.084,1.183,0.843,-24.72,20.81,-2.93,null,null
9,0.95,-0.112,0.916,0.664,39.52,-13.82,13.92,null,null
10,0.95,-0.031,0.678,0.518,0.73,-8.09,27.13,null,null
11,0.95,-0.01,0.754,0.534,14.92,-0.49,-3.3,null,null
