trial_index,gesture,trial_num,start_timestamp,end_timestamp,num_frames
0,t-arm,0,2026-07-30T22:53:31.116059+00:00,2026-07-30T22:53:39.773105+00:00,20
1,t-arm,1,2026-07-30T22:53:40.954898+00:00,2026-07-30T22:53:52.151943+00:00,20
2,t-arm,2,2026-07-30T22:53:53.124669+00:00,2026-07-30T22:53:55.874942+00:00,19
3,t-arm,3,2026-07-30T22:53:56.590266+00:00,2026-07-30T22:53:59.023918+00:00,20
4,t-arm,4,2026-07-30T22:53:59.816512+00:00,2026-07-30T22:54:02.263545+00:00,20
5,t-arm,5,2026-07-30T22:54:06.297796+00:00,2026-07-30T22:54:13.114126+00:00,20
6,t-arm,6,2026-07-30T22:54:16.827535+00:00,2026-07-30T22:54:20.873873+00:00,19
7,t-arm,7,2026-07-30T22:54:21.751115+00:00,2026-07-30T22:54:25.345464+00:00,19
8,t-arm,8,2026-07-30T22:54:26.133232+00:00,2026-07-30T22:54:29.735947+00:00,19
9,t-arm,9,2026-07-30T22:54:30.547276+00:00,2026-07-30T22:54:34.154191+00:00,20
10,t-arm,10,2026-07-30T22:54:35.073577+00:00,2026-07-30T22:54:38.507204+00:00,20
11,t-arm,11,2026-07-30T22:54:39.440088+00:00,2026-07-30T22:54:42.644847+00:00,20
12,t-arm,12,2026-07-30T22:54:46.443148+00:00,2026-07-30T22:54:49.646004+00:00,20
13,t-arm,13,2026-07-30T22:54:50.295874+00:00,2026-07-30T22:54:53.409024+00:00,19
14,t-arm,14,2026-07-30T22:54:54.232606+00:00,2026-07-30T22:54:57.322482+00:00,20
15,clapping,0,2026-07-30T22:54:57.984794+00:00,2026-07-30T22:55:03.156642+00:00,20
16,clapping,1,2026-07-30T22:55:03.886862+00:00,2026-07-30T22:55:06.685379+00:00,20
17,clapping,2,2026-07-30T22:55:07.109361+00:00,2026-07-30T22:55:09.215699+00:00,20
18,clapping,3,2026-07-30T22:55:09.688336+00:00,2026-07-30T22:55:11.799208+00:00,20
19,clapping,4,2026-07-30T22:55:12.628464+00:00,2026-07-30T22:55:14.690856+00:00,20
20,clapping,5,2026-07-30T22:55:15.123205+00:00,2026-07-30T22:55:17.210512+00:00,20
21,clapping,6,2026-07-30T22:55:17.715496+00:00,2026-07-30T22:55:19.824407+00:00,20
22,clapping,7,2026-07-30T22:55:20.274980+00:00,2026-07-30T22:55:22.385361+00:00,20
23,clapping,8,2026-07-30T22:55:22.816966+00:00,2026-07-30T22:55:24.869013+00:00,19
24,clapping,9,2026-07-30T22:55:25.325723+00:00,2026-07-30T22:55:27.359007+00:00,19
25,clapping,10,2026-07-30T22:55:27.784687+00:00,2026-07-30T22:55:29.936376+00:00,20
26,clapping,11,2026-07-30T22:55:30.331827+00:00,2026-07-30T22:55:32.385858+00:00,20
27,clapping,12,2026-07-30T22:55:33.073591+00:00,2026-07-30T22:55:35.172752+00:00,20
28,clapping,13,2026-07-30T22:55:35.660205+00:00,2026-07-30T22:55:37.786495+00:00,20
29,clapping,14,2026-07-30T22:55:38.207794+00:00,2026-07-30T22:55:40.329864+00:00,20
30,soli,0,2026-07-30T22:55:49.945212+00:00,2026-07-30T22:56:04.274862+00:00,20
31,soli,1,2026-07-30T22:56:05.340820+00:00,2026-07-30T22:56:08.447122+00:00,20
32,soli,2,2026-07-30T22:56:08.884347+00:00,2026-07-30T22:56:10.980781+00:00,20
33,soli,3,2026-07-30T22:56:11.419109+00:00,2026-07-30T22:56:13.508305+00:00,19
34,soli,4,2026-07-30T22:56:14.002288+00:00,2026-07-30T22:56:16.108070+00:00,20
35,soli,5,2026-07-30T22:56:21.033163+00:00,2026-07-30T22:56:23.008904+00:00,20
36,soli,6,2026-07-30T22:56:23.012883+00:00,2026-07-30T22:56:25.001756+00:00,20
37,soli,7,2026-07-30T22:56:25.003791+00:00,2026-07-30T22:56:26.917652+00:00,19
38,soli,8,2026-07-30T22:56:28.006263+00:00,2026-07-30T22:56:30.110487+00:00,20
39,soli,9,2026-07-30T22:56:30.651002+00:00,2026-07-30T22:56:32.708087+00:00,19
40,soli,10,2026-07-30T22:57:41.869595+00:00,2026-07-30T22:57:44.342218+00:00,20
41,soli,11,2026-07-30T22:57:45.276714+00:00,2026-07-30T22:57:48.144268+00:00,20
42,soli,12,2026-07-30T22:57:49.698353+00:00,2026-07-30T22:57:52.878972+00:00,20
43,soli,13,2026-07-30T22:57:54.171030+00:00,2026-07-30T22:57:57.064797+00:00,19
44,soli,14,2026-07-30T22:57:58.493256+00:00,2026-07-30T22:58:01.434404+00:00,20
