frame_index,timestamp,gesture,trial,elapsed,dataset_source,confidence,num_points,points,range_profile,motion_score
0,2026-07-26T23:41:26.639082+00:00,push,0,0.000204,session_20260726_234022,0.0,0,[],null,0.0
1,2026-07-26T23:41:26.743368+00:00,push,0,0.104408,session_20260726_234022,0.0,0,[],null,0.0
2,2026-07-26T23:41:26.848462+00:00,push,0,0.209494,session_20260726_234022,0.0,0,[],null,0.0
3,2026-07-26T23:41:26.953549+00:00,push,0,0.314578,session_20260726_234022,0.0,0,[],null,0.0
4,2026-07-26T23:41:27.056394+00:00,push,0,0.417422,session_20260726_234022,0.0,0,[],null,0.0
5,2026-07-26T23:41:27.161462+00:00,push,0,0.522482,session_20260726_234022,0.0,0,[],null,0.0
6,2026-07-26T23:41:27.266517+00:00,push,0,0.627532,session_20260726_234022,0.0,0,[],null,0.0
7,2026-07-26T23:41:27.371570+00:00,push,0,0.732586,session_20260726_234022,0.0,0,[],null,0.0
8,2026-07-26T23:41:27.476636+00:00,push,0,0.837662,session_20260726_234022,0.0,0,[],null,0.0
9,2026-07-26T23:41:27.581701+00:00,push,0,0.942718,session_20260726_234022,0.0,0,[],null,0.0
10,2026-07-26T23:41:27.686768+00:00,push,0,1.04779,session_20260726_234022,0.0,0,[],null,0.0
11,2026-07-26T23:41:27.791853+00:00,push,0,1.152878,session_20260726_234022,0.0,0,[],null,0.0
12,2026-07-26T23:41:27.896476+00:00,push,0,1.257508,session_20260726_234022,0.0,0,[],null,0.0
13,2026-07-26T23:41:28.001566+00:00,push,0,1.362599,session_20260726_234022,0.0,0,[],null,0.0
14,2026-07-26T23:41:28.106560+00:00,push,0,1.467591,session_20260726_234022,0.0,0,[],null,0.0
15,2026-07-26T23:41:28.209107+00:00,push,0,1.570133,session_20260726_234022,0.0,0,[],null,0.0
16,2026-07-26T23:41:28.312787+00:00,push,0,1.673809,session_20260726_234022,0.0,0,[],null,0.0
17,2026-07-26T23:41:28.413788+00:00,push,0,1.774806,session_20260726_234022,0.0,0,[],null,0.0
18,2026-07-26T23:41:28.518849+00:00,push,0,1.879867,session_20260726_234022,0.0,0,[],null,0.0
19,2026-07-26T23:41:28.623907+00:00,push,0,1.984925,session_20260726_234022,0.0,0,[],null,0.0
20,2026-07-26T23:41:54.531544+00:00,push,1,4.3e-05,session_20260726_234022,0.0,0,[],null,0.0
21,2026-07-26T23:41:54.631918+00:00,push,1,0.100425,session_20260726_234022,0.0,0,[],null,0.0
22,2026-07-26T23:41:54.736683+00:00,push,1,0.205184,session_20260726_234022,0.0,0,[],null,0.0
23,2026-07-26T23:41:54.837644+00:00,push,1,0.306139,session_20260726_234022,0.0,0,[],null,0.0
24,2026-07-26T23:41:54.942708+00:00,push,1,0.411201,session_20260726_234022,0.0,0,[],null,0.0
25,2026-07-26T23:41:55.047797+00:00,push,1,0.516299,session_20260726_234022,0.0,0,[],null,0.0
26,2026-07-26T23:41:55.149325+00:00,push,1,0.617825,session_20260726_234022,0.0,0,[],null,0.0
27,2026-07-26T23:41:55.254393+00:00,push,1,0.722889,session_20260726_234022,0.0,0,[],null,0.0
28,2026-07-26T23:41:55.357815+00:00,push,1,0.82631,session_20260726_234022,0.0,0,[],null,0.0
29,2026-07-26T23:41:55.462663+00:00,push,1,0.93117,session_20260726_234022,0.0,0,[],null,0.0
30,2026-07-26T23:41:55.565228+00:00,push,1,1.033723,session_20260726_234022,0.0,0,[],null,0.0
31,2026-07-26T23:41:55.670316+00:00,push,1,1.138813,session_20260726_234022,0.0,0,[],null,0.0
32,2026-07-26T23:41:55.775408+00:00,push,1,1.243908,session_20260726_234022,0.0,0,[],null,0.0
33,2026-07-26T23:41:55.880480+00:00,push,1,1.348976,session_20260726_234022,0.0,0,[],null,0.0
34,2026-07-26T23:41:55.985572+00:00,push,1,1.454067,session_20260726_234022,0.0,0,[],null,0.0
35,2026-07-26T23:41:56.090636+00:00,push,1,1.559132,session_20260726_234022,0.0,0,[],null,0.0
36,2026-07-26T23:41:56.195706+00:00,push,1,1.664203,session_20260726_234022,0.0,0,[],null,0.0
37,2026-07-26T23:41:56.300770+00:00,push,1,1.769263,session_20260726_234022,0.0,0,[],null,0.0
38,2026-07-26T23:41:56.404309+00:00,push,1,1.872804,session_20260726_234022,0.0,0,[],null,0.0
39,2026-07-26T23:41:56.509372+00:00,push,1,1.977867,session_20260726_234022,0.0,0,[],null,0.0
40,2026-07-26T23:42:02.152552+00:00,push,2,4.9e-05,session_20260726_234022,0.0,0,[],null,0.0
41,2026-07-26T23:42:02.253552+00:00,push,2,0.101053,session_20260726_234022,0.0,0,[],null,0.0
42,2026-07-26T23:42:02.354279+00:00,push,2,0.201768,session_20260726_234022,0.0,0,[],null,0.0
43,2026-07-26T23:42:02.457808+00:00,push,2,0.305296,session_20260726_234022,0.0,0,[],null,0.0
44,2026-07-26T23:42:02.562630+00:00,push,2,0.410122,session_20260726_234022,0.0,0,[],null,0.0
45,2026-07-26T23:42:02.667718+00:00,push,2,0.515226,session_20260726_234022,0.0,0,[],null,0.0
46,2026-07-26T23:42:02.772797+00:00,push,2,0.620278,session_20260726_234022,0.0,0,[],null,0.0
47,2026-07-26T23:42:02.877851+00:00,push,2,0.725331,session_20260726_234022,0.0,0,[],null,0.0
48,2026-07-26T23:42:02.982900+00:00,push,2,0.830375,session_20260726_234022,0.0,0,[],null,0.0
49,2026-07-26T23:42:03.087941+00:00,push,2,0.935418,session_20260726_234022,0.0,0,[],null,0.0
50,2026-07-26T23:42:03.192997+00:00,push,2,1.040476,session_20260726_234022,0.0,0,[],null,0.0
51,2026-07-26T23:42:03.298070+00:00,push,2,1.14556,session_20260726_234022,0.0,0,[],null,0.0
52,2026-07-26T23:42:03.403170+00:00,push,2,1.250667,session_20260726_234022,0.0,0,[],null,0.0
53,2026-07-26T23:42:03.503290+00:00,push,2,1.350783,session_20260726_234022,0.0,0,[],null,0.0
54,2026-07-26T23:42:03.604267+00:00,push,2,1.451755,session_20260726_234022,0.0,0,[],null,0.0
55,2026-07-26T23:42:03.706094+00:00,push,2,1.553576,session_20260726_234022,0.0,0,[],null,0.0
56,2026-07-26T23:42:03.811145+00:00,push,2,1.658623,session_20260726_234022,0.0,0,[],null,0.0
57,2026-07-26T23:42:03.916202+00:00,push,2,1.763687,session_20260726_234022,0.0,0,[],null,0.0
58,2026-07-26T23:42:04.018114+00:00,push,2,1.865603,session_20260726_234022,0.0,0,[],null,0.0
59,2026-07-26T23:42:04.119948+00:00,push,2,1.967431,session_20260726_234022,0.0,0,[],null,0.0
